trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,28,1,,,,catch,0,,,,0.9,,
2,1,True,1,15,0,16,0,,,,catch,0,,,,0.33,,
3,2,True,1,15,1,30,1,,,,catch,0,,,,1.85,,
4,2,True,0,15,0,31,1,,,,catch,0,,,,0.69,,
5,3,True,0,14,0,16,1,,,,catch,0,,,,0.43,,
6,3,True,0,14,0,25,1,,,,catch,0,,,,1.2,,
7,4,False,1,13,0,34,0,1,23,1,choice,1,0,1,25,0.99,0.94,2.51
8,4,False,0,13,0,13,1,0,18,1,choice,2,0,1,25,0.59,1.36,2.94
9,4,False,1,13,0,14,0,0,19,0,force,2,0,0,49,0.59,1.09,2.09
10,4,False,0,13,0,19,1,1,6,0,force,1,1,1,49,1.34,1.65,2.65
11,5,False,1,13,0,12,0,0,18,0,choice,2,1,0,40,0.47,0.81,2.31
12,5,False,1,13,0,14,0,0,19,0,force,2,1,1,36,0.23,1.31,2.32
13,5,False,1,13,0,16,0,0,5,0,choice,1,0,1,35,0.55,1.23,2.77
14,5,False,0,13,0,13,1,0,10,1,force,1,0,0,37,0.72,1.39,2.4
15,6,False,1,13,1,11,1,1,22,1,force,2,1,1,34,1.36,1.02,2.02
16,6,False,1,13,0,18,0,0,9,0,choice,2,0,1,13,0.74,1.55,3.07
17,6,False,1,13,1,8,1,1,16,1,force,1,1,1,39,0.99,1.04,2.05
18,6,False,1,13,1,16,1,0,2,0,choice,1,0,1,47,0.33,0.87,2.38
