trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,26,0,,,,catch,0,,0,0,0.2,,
2,1,True,1,15,1,45,1,,,,catch,0,,0,0,0.21,,
3,1,True,0,15,1,42,0,,,,catch,0,,0,0,0.22,,
4,1,True,1,15,0,37,0,,,,catch,0,,0,0,0.22,,
5,1,True,0,15,1,33,0,,,,catch,0,,0,0,0.22,,
6,1,True,1,15,1,5,1,,,,catch,0,,0,0,0.22,,
7,1,True,0,15,1,44,0,,,,catch,0,,0,0,0.22,,
8,1,True,1,15,1,44,1,,,,catch,0,,0,0,0.23,,
9,1,True,1,15,1,17,1,,,,catch,0,,0,0,0.23,,
10,1,True,1,14,0,28,0,,,,catch,0,,0,0,0.23,,
11,1,True,0,15,1,5,0,,,,catch,0,,0,0,0.22,,
12,1,True,0,15,1,41,0,,,,catch,0,,0,0,0.24,,
13,1,True,1,15,0,49,0,,,,catch,0,,0,0,0.24,,
14,1,True,1,15,1,35,1,,,,catch,0,,0,0,0.24,,
15,1,True,0,15,1,28,0,,,,catch,0,,0,0,0.24,,
16,1,True,0,15,0,3,1,,,,catch,0,,0,0,0.26,,
17,1,True,0,15,1,48,0,,,,catch,0,,0,0,0.24,,
18,1,True,0,15,0,4,1,,,,catch,0,,0,0,0.24,,
19,1,True,0,15,1,39,0,,,,catch,0,,0,0,0.25,,
20,1,True,1,15,1,19,1,,,,catch,0,,0,0,0.25,,
21,1,True,1,15,1,12,1,,,,catch,0,,0,0,0.25,,
22,1,True,0,14,0,33,1,,,,catch,0,,0,0,0.25,,
23,1,True,1,14,0,44,0,,,,catch,0,,0,0,0.25,,
24,1,True,0,15,1,22,0,,,,catch,0,,0,0,0.26,,
25,1,True,0,15,0,9,1,,,,catch,0,,0,0,0.25,,
26,1,True,1,15,1,44,1,,,,catch,0,,0,0,0.26,,
27,1,True,1,14,1,18,1,,,,catch,0,,0,0,0.26,,
28,1,True,1,14,1,43,1,,,,catch,0,,0,0,0.27,,
29,1,True,1,13,0,14,0,,,,catch,0,,0,0,0.26,,
30,1,True,0,14,1,26,0,,,,catch,0,,0,0,0.27,,
31,2,True,0,15,1,45,0,,,,catch,0,,0,0,0.27,,
32,2,True,1,15,0,37,0,,,,catch,0,,0,0,0.29,,
33,2,True,0,15,1,5,0,,,,catch,0,,0,0,0.27,,
34,2,True,1,15,1,44,1,,,,catch,0,,0,0,0.28,,
35,2,True,0,15,0,28,1,,,,catch,0,,0,0,0.27,,
36,2,True,1,14,1,41,1,,,,catch,0,,0,0,0.28,,
37,2,True,1,14,1,35,1,,,,catch,0,,0,0,0.28,,
38,2,True,1,13,0,3,0,,,,catch,0,,0,0,0.28,,
39,2,True,1,14,0,4,0,,,,catch,0,,0,0,0.29,,
40,2,True,1,15,1,19,1,,,,catch,0,,0,0,0.29,,
41,2,True,0,15,0,33,1,,,,catch,0,,0,0,0.29,,
42,2,True,1,14,1,22,1,,,,catch,0,,0,0,0.29,,
43,2,True,0,14,1,44,0,,,,catch,0,,0,0,0.29,,
44,2,True,0,15,1,43,0,,,,catch,0,,0,0,0.29,,
45,2,True,0,15,1,26,0,,,,catch,0,,0,0,0.29,,
46,2,True,0,15,0,13,1,,,,catch,0,,0,0,0.3,,
47,2,True,1,15,0,18,0,,,,catch,0,,0,0,0.3,,
