trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,2,0,,,,catch,0,0,,0,0,6.57,,
2,1,True,1,15,1,11,1,,,,catch,0,0,,0,0,3.77,,
3,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,3.26,,
4,1,True,1,15,0,18,0,,,,catch,0,0,,0,0,4.25,,
5,1,True,1,15,0,15,0,,,,catch,0,0,,0,0,3.09,,
6,1,True,0,15,0,15,1,,,,catch,0,0,,0,0,3.81,,
7,1,True,0,15,0,30,1,,,,catch,0,0,,0,0,2.48,,
8,1,True,0,14,0,10,1,,,,catch,0,0,,0,0,2.11,,
9,1,True,0,14,1,8,0,,,,catch,0,0,,0,0,2.74,,
10,1,True,1,15,1,13,1,,,,catch,0,0,,0,0,3.27,,
11,1,True,0,15,0,13,1,,,,catch,0,0,,0,0,3.32,,
12,1,True,0,14,0,14,1,,,,catch,0,0,,0,0,2.5,,
13,1,True,1,14,0,17,0,,,,catch,0,0,,0,0,2.37,,
14,1,True,1,15,0,7,0,,,,catch,0,0,,0,0,3.07,,
15,1,True,0,15,0,9,1,,,,catch,0,0,,0,0,3.82,,
16,1,True,1,15,1,20,1,,,,catch,0,0,,0,0,2.6,,
17,1,True,1,14,1,19,1,,,,catch,0,0,,0,0,3.01,,
18,1,True,0,14,0,19,1,,,,catch,0,0,,0,0,3.75,,
19,1,True,0,13,0,13,1,,,,catch,0,0,,0,0,4.11,,
20,1,True,1,13,0,9,0,,,,catch,0,0,,0,0,3.67,,
21,1,True,0,14,1,8,0,,,,catch,0,0,,0,0,3.58,,
22,1,True,0,15,1,12,0,,,,catch,0,0,,0,0,2.49,,
23,1,True,1,15,1,23,1,,,,catch,0,0,,0,0,3.67,,
24,1,True,0,15,1,16,0,,,,catch,0,0,,0,0,3.19,,
25,1,True,1,15,1,13,1,,,,catch,0,0,,0,0,2.32,,
26,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,2.07,,
27,1,True,1,14,1,20,1,,,,catch,0,0,,0,0,1.79,,
28,1,True,1,14,1,10,1,,,,catch,0,0,,0,0,2.61,,
29,1,True,0,13,1,8,0,,,,catch,0,0,,0,0,1.98,,
30,1,True,0,14,1,10,0,,,,catch,0,0,,0,0,2.57,,
31,2,True,1,15,1,7,1,,,,catch,0,0,,0,0,2.51,,
32,2,True,0,15,1,8,0,,,,catch,0,0,,0,0,1.83,,
33,2,True,1,15,1,16,1,,,,catch,0,0,,0,0,2.68,,
34,2,True,0,15,0,22,1,,,,catch,0,0,,0,0,3.09,,
35,2,True,1,14,0,25,0,,,,catch,0,0,,0,0,2.4,,
36,2,True,1,15,0,16,0,,,,catch,0,0,,0,0,3.32,,
37,2,True,0,15,0,26,1,,,,catch,0,0,,0,0,2.85,,
38,2,True,0,15,0,8,1,,,,catch,0,0,,0,0,2.2,,
39,2,True,1,14,1,6,1,,,,catch,0,0,,0,0,2.69,,
40,2,True,1,14,1,5,1,,,,catch,0,0,,0,0,3.9,,
41,2,True,1,13,1,20,1,,,,catch,0,0,,0,0,2.13,,
42,2,True,1,13,1,18,1,,,,catch,0,0,,0,0,2.37,,
43,2,True,1,12,1,22,1,,,,catch,0,0,,0,0,2.01,,
44,2,True,1,12,0,12,0,,,,catch,0,0,,0,0,2.42,,
45,2,True,1,13,1,21,1,,,,catch,0,0,,0,0,1.93,,
46,2,True,1,13,1,23,1,,,,catch,0,0,,0,0,1.77,,
47,2,True,0,12,1,21,0,,,,catch,0,0,,0,0,2.23,,
48,2,True,1,13,0,10,0,,,,catch,0,0,,0,0,1.99,,
49,2,True,0,14,0,11,1,,,,catch,0,0,,0,0,3.45,,
50,2,True,1,14,1,7,1,,,,catch,0,0,,0,0,3.34,,
51,2,True,1,13,1,24,1,,,,catch,0,0,,0,0,3.27,,
52,2,True,1,13,1,26,1,,,,catch,0,0,,0,0,2.62,,
53,2,True,1,12,1,10,1,,,,catch,0,0,,0,0,1.97,,
54,2,True,1,12,1,20,1,,,,catch,0,0,,0,0,1.88,,
55,2,True,1,11,1,21,1,,,,catch,0,0,,0,0,2.01,,
56,2,True,1,11,1,26,1,,,,catch,0,0,,0,0,1.95,,
57,2,True,1,10,1,7,1,,,,catch,0,0,,0,0,2.42,,
