trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,16,0,,,,catch,0,0,,0,0,1.56,,
2,1,True,1,15,1,41,1,,,,catch,0,0,,0,0,0.86,,
3,1,True,0,15,0,47,1,,,,catch,0,0,,0,0,0.87,,
4,1,True,1,14,0,43,0,,,,catch,0,0,,0,0,0.86,,
5,1,True,0,15,1,41,0,,,,catch,0,0,,0,0,0.87,,
6,1,True,1,15,0,13,0,,,,catch,0,0,,0,0,0.88,,
7,1,True,0,15,1,50,0,,,,catch,0,0,,0,0,0.87,,
8,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,0.88,,
9,1,True,0,15,1,26,0,,,,catch,0,0,,0,0,0.87,,
10,1,True,1,15,0,19,0,,,,catch,0,0,,0,0,0.86,,
11,1,True,0,15,0,39,1,,,,catch,0,0,,0,0,0.88,,
12,1,True,1,15,1,49,1,,,,catch,0,0,,0,0,0.89,,
13,1,True,0,14,0,21,1,,,,catch,0,0,,0,0,0.89,,
14,1,True,1,14,0,35,0,,,,catch,0,0,,0,0,0.89,,
15,1,True,1,15,1,21,1,,,,catch,0,0,,0,0,0.9,,
16,1,True,0,15,1,48,0,,,,catch,0,0,,0,0,0.89,,
17,1,True,1,15,1,26,1,,,,catch,0,0,,0,0,0.92,,
18,1,True,0,15,1,19,0,,,,catch,0,0,,0,0,0.9,,
19,1,True,1,15,1,36,1,,,,catch,0,0,,0,0,0.91,,
20,1,True,1,15,1,27,1,,,,catch,0,0,,0,0,0.9,,
21,1,True,0,14,0,41,1,,,,catch,0,0,,0,0,0.91,,
22,1,True,0,14,0,46,1,,,,catch,0,0,,0,0,0.91,,
23,1,True,0,13,1,11,0,,,,catch,0,0,,0,0,0.91,,
24,1,True,1,14,0,19,0,,,,catch,0,0,,0,0,0.93,,
25,1,True,0,15,1,11,0,,,,catch,0,0,,0,0,0.91,,
26,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,0.91,,
27,1,True,1,15,1,24,1,,,,catch,0,0,,0,0,0.91,,
28,1,True,0,14,1,20,0,,,,catch,0,0,,0,0,0.92,,
29,1,True,0,15,0,30,1,,,,catch,0,0,,0,0,0.93,,
30,1,True,0,15,1,19,0,,,,catch,0,0,,0,0,0.93,,
31,2,True,0,15,1,41,0,,,,catch,0,0,,0,0,1.63,,
32,2,True,1,15,0,43,0,,,,catch,0,0,,0,0,0.93,,
33,2,True,0,15,0,13,1,,,,catch,0,0,,0,0,0.94,,
34,2,True,0,15,0,1,1,,,,catch,0,0,,0,0,0.94,,
35,2,True,1,14,0,19,0,,,,catch,0,0,,0,0,0.94,,
36,2,True,0,15,1,49,0,,,,catch,0,0,,0,0,0.94,,
37,2,True,0,15,0,35,1,,,,catch,0,0,,0,0,0.94,,
38,2,True,1,15,1,48,1,,,,catch,0,0,,0,0,0.95,,
39,2,True,1,14,1,19,1,,,,catch,0,0,,0,0,0.95,,
40,2,True,0,14,1,27,0,,,,catch,0,0,,0,0,0.95,,
41,2,True,0,15,0,46,1,,,,catch,0,0,,0,0,0.95,,
42,2,True,1,15,0,19,0,,,,catch,0,0,,0,0,0.95,,
43,2,True,0,15,1,18,0,,,,catch,0,0,,0,0,0.95,,
44,2,True,1,15,1,20,1,,,,catch,0,0,,0,0,0.94,,
45,2,True,1,15,1,19,1,,,,catch,0,0,,0,0,0.95,,
46,2,True,1,14,0,20,0,,,,catch,0,0,,0,0,0.95,,
47,2,True,1,15,1,38,1,,,,catch,0,0,,0,0,0.96,,
48,2,True,1,15,0,1,0,,,,catch,0,0,,0,0,0.95,,
49,2,True,0,15,0,47,1,,,,catch,0,0,,0,0,0.98,,
50,2,True,0,15,0,31,1,,,,catch,0,0,,0,0,0.97,,
