trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,32,0,,,,catch,0,,,,0.8,,
2,1,True,1,15,1,27,1,,,,catch,0,,,,3.57,,
3,2,True,0,15,0,10,1,,,,catch,0,,,,0.18,,
4,2,True,0,14,1,22,0,,,,catch,0,,,,0.21,,
5,3,True,1,15,0,19,0,,,,catch,0,,,,0.44,,
6,3,True,1,15,1,34,1,,,,catch,0,,,,0.61,,
7,4,False,1,15,0,30,0,0,37,0,choice,1,0,1,25,0.85,1.09,3.3
8,4,False,1,15,0,34,0,0,42,0,choice,1,0,1,25,1.41,1.45,3.43
9,4,False,0,15,0,19,1,0,30,1,force,2,0,1,49,0.21,2.24,3.25
10,4,False,0,15,0,16,1,0,23,1,force,1,1,0,49,0.61,1.71,2.71
11,5,False,0,15,0,18,1,0,31,1,force,2,1,0,23,0.58,5.94,6.94
12,5,False,1,15,0,20,0,0,30,0,force,1,1,0,36,1.4,1.31,2.32
13,5,False,0,15,0,26,1,0,30,1,choice,1,0,1,35,0.81,1.36,3.06
14,5,False,1,15,0,20,0,0,27,0,choice,1,0,1,35,0.18,1.95,3.53
15,6,False,1,15,0,25,0,1,21,1,choice,1,1,0,39,0.9,1.42,3.13
16,6,False,0,15,1,23,0,0,13,1,force,2,1,0,24,0.16,1.31,2.32
17,6,False,1,15,0,25,0,0,18,0,force,1,1,0,39,0.53,1.15,2.15
18,6,False,0,15,0,12,1,0,24,1,choice,2,0,1,47,0.17,0.77,2.44
