trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,16,1,,,,catch,0,,,,1.17,,
2,1,True,0,15,0,15,1,,,,catch,0,,,,1.27,,
3,2,True,1,15,1,23,1,,,,catch,0,,,,1.13,,
4,2,True,0,14,0,21,1,,,,catch,0,,,,1.24,,
5,3,True,0,14,0,24,1,,,,catch,0,,,,1.2,,
6,3,True,0,13,0,11,1,,,,catch,0,,,,1.21,,
7,4,False,1,13,0,17,0,1,22,1,choice,2,0,1,25,1.23,1.41,3.2
8,4,False,0,13,0,9,1,0,23,1,force,1,0,1,28,0.72,1.35,2.35
9,4,False,0,13,1,17,0,0,10,1,force,2,0,1,49,1.05,1.07,2.08
10,4,False,1,13,0,13,0,1,19,1,choice,1,1,0,41,1.19,1.51,3.19
11,5,False,0,13,0,16,1,0,26,1,force,1,1,0,23,1.08,1.22,2.23
12,5,False,1,13,0,18,0,1,14,1,choice,2,0,1,35,0.34,0.91,2.54
13,5,False,0,13,1,16,0,1,29,0,force,2,1,0,28,1.03,1.95,2.96
14,5,False,0,13,1,8,0,0,17,1,choice,1,0,1,35,0.47,0.64,2.25
15,6,False,0,13,0,10,1,0,18,1,choice,2,1,0,39,0.56,0.68,2.33
16,6,False,0,13,0,14,1,0,21,1,choice,1,0,1,13,0.38,1.0,2.44
17,6,False,1,13,0,13,0,0,16,0,force,1,1,0,39,0.22,1.23,2.23
18,6,False,1,13,0,8,0,0,10,0,force,2,0,1,32,0.25,1.06,2.06
