trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,38,0,,,,catch,0,,0,0,2.99,,
2,1,True,1,15,1,21,1,,,,catch,0,,0,0,0.97,,
3,2,True,0,15,0,26,1,,,,catch,0,,0,0,1.33,,
4,2,True,1,14,1,20,1,,,,catch,0,,0,0,0.89,,
5,3,True,1,14,1,24,1,,,,catch,0,,0,0,0.85,,
6,3,True,0,13,0,19,1,,,,catch,0,,0,0,0.89,,
7,4,False,0,13,0,34,1,1,20,0,choice,1,0,1,0,2.65,9.28,11.16
8,4,False,1,13,0,22,0,1,17,1,force,2,0,0,0,1.02,1.08,2.08
9,4,False,0,13,0,20,1,1,9,0,force,1,0,1,0,0.87,0.94,1.95
10,4,False,0,13,1,9,0,1,25,0,choice,1,1,0,0,0.66,5.82,7.31
11,5,False,1,13,0,19,0,0,33,0,choice,2,1,1,0,1.17,6.22,8.48
12,5,False,0,13,1,24,0,0,17,1,force,2,1,0,0,1.15,1.29,2.29
13,5,False,1,13,1,15,1,1,26,1,force,2,1,1,0,1.04,1.02,2.02
14,5,False,0,13,0,13,1,0,29,1,choice,1,0,1,0,0.77,2.12,4.07
15,6,False,0,13,0,11,1,0,17,1,force,1,0,1,0,0.99,1.41,2.42
16,6,False,1,13,1,16,1,1,14,1,choice,2,0,0,0,1.33,0.99,2.62
17,6,False,1,13,0,11,0,0,15,0,choice,1,1,1,0,0.78,0.78,2.4
18,6,False,1,13,1,16,1,1,24,1,force,2,1,1,0,1.36,2.27,3.27
19,7,False,0,13,1,23,0,0,22,1,force,1,0,1,0,1.11,1.92,2.93
20,7,False,0,13,1,23,0,1,15,0,force,2,0,1,0,0.82,1.13,2.13
21,7,False,0,13,0,21,1,1,10,0,choice,1,0,1,0,1.04,1.33,2.93
22,7,False,1,13,1,9,1,0,18,0,choice,1,0,0,0,1.14,10.14,11.65
23,8,False,0,13,1,23,0,1,33,0,choice,2,0,1,0,1.93,1.85,3.33
24,8,False,1,13,1,14,1,1,21,1,force,2,1,1,0,10.67,1.08,2.08
25,8,False,0,13,1,13,0,0,12,1,choice,1,1,0,0,0.92,1.19,3.8
26,8,False,0,13,1,12,0,1,16,0,force,1,1,0,0,0.89,6.12,7.13
27,9,False,1,13,1,20,1,1,25,1,force,1,1,1,0,1.49,1.19,2.19
28,9,False,1,13,1,14,1,0,13,0,force,2,0,0,0,1.04,0.91,1.92
29,9,False,1,13,1,11,1,0,12,0,choice,2,0,0,0,0.96,1.88,3.72
30,9,False,0,13,0,15,1,1,12,0,choice,1,1,0,0,0.95,2.06,3.84
