trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,15,1,,,,catch,0,,0,0,1.15,,
2,1,True,0,15,0,19,1,,,,catch,0,,0,0,0.79,,
3,2,True,0,15,0,24,1,,,,catch,0,,0,0,2.25,,
4,2,True,0,14,0,9,1,,,,catch,0,,0,0,1.16,,
5,3,True,0,14,0,34,1,,,,catch,0,,0,0,1.03,,
6,3,True,0,13,0,31,1,,,,catch,0,,0,0,1.08,,
7,4,False,0,13,1,26,0,1,16,0,force,1,0,1,0,1.35,0.77,1.78
8,4,False,0,13,0,13,1,0,22,1,choice,1,0,1,0,0.74,6.07,8.02
9,4,False,1,13,0,19,0,0,31,0,force,2,1,1,0,0.79,0.97,1.97
10,4,False,1,13,0,22,0,0,32,0,choice,1,0,0,0,0.83,0.86,2.39
11,5,False,1,13,0,24,0,1,5,1,choice,2,0,0,0,0.88,1.19,2.73
12,5,False,0,13,0,22,1,0,33,1,choice,1,0,1,0,0.82,0.92,2.88
13,5,False,0,13,0,34,1,1,16,0,force,1,0,1,0,1.18,1.88,2.88
14,5,False,1,13,1,27,1,0,27,0,force,2,0,0,0,1.17,0.98,1.99
15,6,False,0,13,1,7,0,0,25,1,force,1,0,1,0,1.07,1.03,2.03
16,6,False,0,13,0,20,1,1,10,0,choice,2,1,0,0,0.9,1.45,3.06
17,6,False,0,13,0,18,1,0,31,1,force,2,1,0,0,0.74,1.06,2.06
18,6,False,0,13,1,12,0,0,16,1,choice,1,1,0,0,1.45,1.55,3.57
19,7,False,1,13,0,20,0,0,28,0,force,2,0,0,0,1.08,1.07,2.07
20,7,False,0,13,0,27,1,1,25,0,choice,1,0,1,0,1.63,1.56,3.1
21,7,False,0,13,0,20,1,1,14,0,choice,1,0,1,0,0.75,1.24,2.83
22,7,False,0,13,1,28,0,1,19,0,force,1,0,1,0,1.4,2.28,3.28
23,8,False,1,13,0,22,0,0,7,0,choice,2,1,1,0,0.99,1.44,2.99
24,8,False,1,13,1,25,1,0,22,0,force,2,1,1,0,0.88,1.06,2.07
25,8,False,1,13,0,20,0,0,38,0,choice,1,1,1,0,0.67,1.09,2.59
26,8,False,1,13,0,19,0,0,32,0,force,1,0,0,0,1.11,0.81,1.81
27,9,False,0,13,0,19,1,0,38,1,choice,2,1,0,0,0.69,1.13,2.6
28,9,False,0,13,0,24,1,0,27,1,force,1,0,1,0,0.71,0.74,1.75
29,9,False,1,13,0,11,0,0,29,0,choice,2,0,0,0,0.61,1.05,2.94
30,9,False,1,13,0,20,0,0,21,0,force,2,0,0,0,0.78,1.06,2.07
