trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,13,0,,,,catch,0,0,,0,0,3.08,,
2,1,True,1,15,1,22,1,,,,catch,0,0,,0,0,2.95,,
3,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,2.72,,
4,1,True,0,14,0,1,1,,,,catch,0,0,,0,0,2.94,,
5,1,True,1,14,1,26,1,,,,catch,0,0,,0,0,2.28,,
6,1,True,0,13,0,19,1,,,,catch,0,0,,0,0,2.37,,
7,1,True,0,13,1,21,0,,,,catch,0,0,,0,0,2.25,,
8,1,True,1,14,1,24,1,,,,catch,0,0,,0,0,2.04,,
9,1,True,1,14,1,4,1,,,,catch,0,0,,0,0,2.32,,
10,1,True,1,13,1,8,1,,,,catch,0,0,,0,0,1.74,,
11,1,True,0,13,0,3,1,,,,catch,0,0,,0,0,2.09,,
12,1,True,0,12,1,4,0,,,,catch,0,0,,0,0,1.64,,
13,1,True,0,13,0,5,1,,,,catch,0,0,,0,0,2.02,,
14,1,True,0,13,0,1,1,,,,catch,0,0,,0,0,4.41,,
15,1,True,0,12,1,18,0,,,,catch,0,0,,0,0,2.68,,
16,1,True,0,13,1,3,0,,,,catch,0,0,,0,0,2.13,,
17,1,True,0,14,0,4,1,,,,catch,0,0,,0,0,2.44,,
18,1,True,1,14,1,18,1,,,,catch,0,0,,0,0,1.9,,
19,1,True,1,13,1,4,1,,,,catch,0,0,,0,0,2.15,,
20,1,True,1,13,1,7,1,,,,catch,0,0,,0,0,1.77,,
21,1,True,0,12,0,4,1,,,,catch,0,0,,0,0,1.73,,
22,1,True,1,12,0,2,0,,,,catch,0,0,,0,0,2.47,,
23,1,True,0,13,0,9,1,,,,catch,0,0,,0,0,2.47,,
24,1,True,1,13,1,5,1,,,,catch,0,0,,0,0,2.23,,
25,1,True,1,12,0,2,0,,,,catch,0,0,,0,0,1.82,,
26,1,True,0,13,1,2,0,,,,catch,0,0,,0,0,2.02,,
27,1,True,0,14,0,19,1,,,,catch,0,0,,0,0,2.27,,
28,1,True,1,14,1,31,1,,,,catch,0,0,,0,0,2.04,,
29,1,True,0,13,0,2,1,,,,catch,0,0,,0,0,1.59,,
30,1,True,0,13,1,6,0,,,,catch,0,0,,0,0,2.57,,
31,2,True,1,14,0,13,0,,,,catch,0,0,,0,0,1.89,,
32,2,True,0,15,0,7,1,,,,catch,0,0,,0,0,1.5,,
33,2,True,1,15,1,20,1,,,,catch,0,0,,0,0,2.45,,
34,2,True,0,14,0,4,1,,,,catch,0,0,,0,0,1.67,,
35,2,True,1,14,1,1,1,,,,catch,0,0,,0,0,2.24,,
36,2,True,0,13,0,4,1,,,,catch,0,0,,0,0,1.99,,
37,2,True,0,13,1,8,0,,,,catch,0,0,,0,0,1.64,,
38,2,True,1,14,1,28,1,,,,catch,0,0,,0,0,1.93,,
39,2,True,1,14,0,3,0,,,,catch,0,0,,0,0,1.68,,
40,2,True,1,15,1,5,1,,,,catch,0,0,,0,0,1.81,,
41,2,True,1,15,1,15,1,,,,catch,0,0,,0,0,2.09,,
