trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,20,1,,,,catch,0,0,,0,0,4.03,,
2,1,True,1,15,1,14,1,,,,catch,0,0,,0,0,2.98,,
3,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,6.22,,
4,1,True,1,14,1,20,1,,,,catch,0,0,,0,0,4.25,,
5,1,True,1,14,0,16,0,,,,catch,0,0,,0,0,5.16,,
6,1,True,1,15,0,18,0,,,,catch,0,0,,0,0,7.35,,
7,1,True,1,15,1,23,1,,,,catch,0,0,,0,0,4.29,,
8,1,True,1,15,1,15,1,,,,catch,0,0,,0,0,4.38,,
9,1,True,0,14,1,11,0,,,,catch,0,0,,0,0,3.64,,
10,1,True,1,15,0,12,0,,,,catch,0,0,,0,0,3.95,,
11,1,True,1,15,1,14,1,,,,catch,0,0,,0,0,3.3,,
12,1,True,0,15,0,22,1,,,,catch,0,0,,0,0,3.56,,
13,1,True,0,14,0,29,1,,,,catch,0,0,,0,0,2.68,,
14,1,True,1,14,0,31,0,,,,catch,0,0,,0,0,2.86,,
15,1,True,1,15,1,14,1,,,,catch,0,0,,0,0,5.31,,
16,1,True,0,15,0,29,1,,,,catch,0,0,,0,0,4.03,,
17,1,True,0,14,0,36,1,,,,catch,0,0,,0,0,2.91,,
18,1,True,1,14,0,37,0,,,,catch,0,0,,0,0,12.5,,
19,1,True,1,15,0,19,0,,,,catch,0,0,,0,0,3.14,,
20,1,True,0,15,0,36,1,,,,catch,0,0,,0,0,2.58,,
21,1,True,1,15,0,16,0,,,,catch,0,0,,0,0,3.24,,
22,1,True,1,15,1,14,1,,,,catch,0,0,,0,0,2.99,,
23,1,True,1,15,1,24,1,,,,catch,0,0,,0,0,3.18,,
24,1,True,1,14,1,22,1,,,,catch,0,0,,0,0,3.12,,
25,1,True,0,14,0,26,1,,,,catch,0,0,,0,0,2.65,,
26,1,True,1,13,1,22,1,,,,catch,0,0,,0,0,2.72,,
27,1,True,0,13,0,21,1,,,,catch,0,0,,0,0,3.14,,
28,1,True,1,12,0,35,0,,,,catch,0,0,,0,0,2.36,,
29,1,True,1,13,0,16,0,,,,catch,0,0,,0,0,2.62,,
30,1,True,1,14,1,10,1,,,,catch,0,0,,0,0,3.19,,
31,2,True,1,14,1,13,1,,,,catch,0,0,,0,0,2.38,,
32,2,True,1,13,1,9,1,,,,catch,0,0,,0,0,2.91,,
33,2,True,1,13,1,20,1,,,,catch,0,0,,0,0,2.35,,
34,2,True,1,12,1,11,1,,,,catch,0,0,,0,0,2.58,,
35,2,True,0,12,0,13,1,,,,catch,0,0,,0,0,1.92,,
36,2,True,1,11,0,12,0,,,,catch,0,0,,0,0,2.59,,
37,2,True,0,12,0,24,1,,,,catch,0,0,,0,0,2.75,,
38,2,True,1,12,1,4,1,,,,catch,0,0,,0,0,3.96,,
39,2,True,0,11,0,4,1,,,,catch,0,0,,0,0,3.38,,
40,2,True,1,11,1,17,1,,,,catch,0,0,,0,0,2.54,,
41,2,True,1,10,1,20,1,,,,catch,0,0,,0,0,2.7,,
42,2,True,0,10,1,14,0,,,,catch,0,0,,0,0,2.68,,
43,2,True,0,11,0,7,1,,,,catch,0,0,,0,0,3.62,,
44,2,True,0,11,1,19,0,,,,catch,0,0,,0,0,2.82,,
45,2,True,1,12,0,17,0,,,,catch,0,0,,0,0,3.26,,
46,2,True,0,13,0,6,1,,,,catch,0,0,,0,0,2.89,,
47,2,True,1,13,1,16,1,,,,catch,0,0,,0,0,2.52,,
48,2,True,0,12,1,5,0,,,,catch,0,0,,0,0,3.19,,
49,2,True,0,13,1,5,0,,,,catch,0,0,,0,0,2.43,,
50,2,True,1,14,1,29,1,,,,catch,0,0,,0,0,2.48,,
51,2,True,0,14,0,18,1,,,,catch,0,0,,0,0,2.53,,
52,2,True,0,13,0,19,1,,,,catch,0,0,,0,0,2.0,,
53,2,True,1,13,1,14,1,,,,catch,0,0,,0,0,2.57,,
54,2,True,0,12,0,19,1,,,,catch,0,0,,0,0,2.33,,
55,2,True,1,12,1,28,1,,,,catch,0,0,,0,0,3.24,,
56,2,True,0,11,0,15,1,,,,catch,0,0,,0,0,3.66,,
57,2,True,1,11,1,23,1,,,,catch,0,0,,0,0,2.84,,
58,2,True,1,10,0,1,0,,,,catch,0,0,,0,0,4.08,,
59,2,True,1,11,1,14,1,,,,catch,0,0,,0,0,3.06,,
60,2,True,0,11,0,9,1,,,,catch,0,0,,0,0,3.36,,
61,3,True,0,10,0,9,1,,,,catch,0,0,,0,0,2.41,,
