trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,6,1,,,,catch,0,0,,0,0,6.52,,
2,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,10.01,,
3,1,True,1,15,1,1,1,,,,catch,0,0,,0,0,4.37,,
4,1,True,1,14,0,19,0,,,,catch,0,0,,0,0,2.98,,
5,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,2.93,,
6,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,6.04,,
7,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,8.32,,
8,1,True,1,15,1,2,1,,,,catch,0,0,,0,0,1.68,,
9,1,True,1,15,0,5,0,,,,catch,0,0,,0,0,6.22,,
10,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,3.53,,
11,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,1.95,,
12,1,True,0,15,1,4,0,,,,catch,0,0,,0,0,1.38,,
13,1,True,0,15,0,29,1,,,,catch,0,0,,0,0,1.46,,
14,1,True,1,15,0,29,0,,,,catch,0,0,,0,0,1.69,,
15,1,True,0,15,1,5,0,,,,catch,0,0,,0,0,1.68,,
16,1,True,0,15,0,24,1,,,,catch,0,0,,0,0,1.81,,
17,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,1.9,,
18,1,True,1,14,1,18,1,,,,catch,0,0,,0,0,1.37,,
19,1,True,1,14,1,15,1,,,,catch,0,0,,0,0,1.04,,
20,1,True,0,13,0,26,1,,,,catch,0,0,,0,0,1.2,,
21,1,True,1,13,0,6,0,,,,catch,0,0,,0,0,1.33,,
22,1,True,0,14,0,36,1,,,,catch,0,0,,0,0,1.36,,
23,1,True,0,14,0,11,1,,,,catch,0,0,,0,0,1.42,,
24,1,True,0,13,1,3,0,,,,catch,0,0,,0,0,1.94,,
25,1,True,0,14,0,24,1,,,,catch,0,0,,0,0,1.2,,
26,1,True,0,14,0,15,1,,,,catch,0,0,,0,0,1.27,,
27,1,True,1,13,1,35,1,,,,catch,0,0,,0,0,1.53,,
28,1,True,0,13,1,29,0,,,,catch,0,0,,0,0,1.13,,
29,1,True,1,14,1,42,1,,,,catch,0,0,,0,0,1.31,,
30,1,True,1,14,1,4,1,,,,catch,0,0,,0,0,2.11,,
31,2,True,1,13,0,2,0,,,,catch,0,0,,0,0,1.9,,
