trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,2,1,,,,catch,0,0,,0,0,5.89,,
2,1,True,0,15,0,6,1,,,,catch,0,0,,0,0,3.06,,
3,1,True,1,15,1,6,1,,,,catch,0,0,,0,0,3.33,,
4,1,True,0,14,0,5,1,,,,catch,0,0,,0,0,2.75,,
5,1,True,1,14,1,5,1,,,,catch,0,0,,0,0,3.01,,
6,1,True,1,13,0,7,0,,,,catch,0,0,,0,0,3.9,,
7,1,True,0,14,0,4,1,,,,catch,0,0,,0,0,4.9,,
8,1,True,0,14,1,6,0,,,,catch,0,0,,0,0,3.1,,
9,1,True,0,15,0,3,1,,,,catch,0,0,,0,0,3.07,,
10,1,True,0,15,0,4,1,,,,catch,0,0,,0,0,2.41,,
11,1,True,0,14,0,5,1,,,,catch,0,0,,0,0,2.8,,
12,1,True,1,14,1,4,1,,,,catch,0,0,,0,0,2.77,,
13,1,True,0,13,0,4,1,,,,catch,0,0,,0,0,2.42,,
14,1,True,0,13,0,4,1,,,,catch,0,0,,0,0,2.42,,
15,1,True,1,12,1,6,1,,,,catch,0,0,,0,0,2.96,,
16,1,True,0,12,0,4,1,,,,catch,0,0,,0,0,2.14,,
17,1,True,1,11,1,11,1,,,,catch,0,0,,0,0,2.63,,
18,1,True,0,11,1,11,0,,,,catch,0,0,,0,0,2.79,,
19,1,True,1,12,0,6,0,,,,catch,0,0,,0,0,2.7,,
20,1,True,1,13,1,13,1,,,,catch,0,0,,0,0,2.62,,
21,1,True,1,13,1,13,1,,,,catch,0,0,,0,0,2.75,,
22,1,True,1,12,1,12,1,,,,catch,0,0,,0,0,2.24,,
23,1,True,1,12,1,11,1,,,,catch,0,0,,0,0,2.46,,
24,1,True,1,11,1,18,1,,,,catch,0,0,,0,0,2.47,,
25,1,True,0,11,0,5,1,,,,catch,0,0,,0,0,2.39,,
26,1,True,1,10,1,8,1,,,,catch,0,0,,0,0,2.54,,
27,1,True,0,10,0,9,1,,,,catch,0,0,,0,0,2.5,,
28,1,True,1,9,1,14,1,,,,catch,0,0,,0,0,3.51,,
29,1,True,0,9,0,9,1,,,,catch,0,0,,0,0,3.35,,
30,1,True,0,8,0,8,1,,,,catch,0,0,,0,0,2.66,,
31,2,True,0,8,0,17,1,,,,catch,0,0,,0,0,2.4,,
32,2,True,0,7,0,18,1,,,,catch,0,0,,0,0,2.74,,
33,2,True,1,7,1,14,1,,,,catch,0,0,,0,0,2.46,,
34,2,True,0,6,1,12,0,,,,catch,0,0,,0,0,2.6,,
35,2,True,0,7,0,9,1,,,,catch,0,0,,0,0,2.67,,
36,2,True,1,7,1,8,1,,,,catch,0,0,,0,0,2.6,,
37,2,True,0,6,0,6,1,,,,catch,0,0,,0,0,2.58,,
38,2,True,0,6,1,4,0,,,,catch,0,0,,0,0,2.28,,
39,2,True,1,7,0,2,0,,,,catch,0,0,,0,0,2.16,,
40,2,True,0,8,0,7,1,,,,catch,0,0,,0,0,2.22,,
41,2,True,1,8,1,6,1,,,,catch,0,0,,0,0,2.63,,
42,2,True,1,7,1,5,1,,,,catch,0,0,,0,0,2.77,,
43,2,True,1,7,1,5,1,,,,catch,0,0,,0,0,2.53,,
44,2,True,0,6,1,6,0,,,,catch,0,0,,0,0,2.36,,
45,2,True,0,7,1,6,0,,,,catch,0,0,,0,0,2.26,,
46,2,True,0,8,0,6,1,,,,catch,0,0,,0,0,2.48,,
47,2,True,0,8,1,6,0,,,,catch,0,0,,0,0,2.5,,
48,2,True,1,9,1,3,1,,,,catch,0,0,,0,0,2.34,,
49,2,True,1,9,1,6,1,,,,catch,0,0,,0,0,2.25,,
50,2,True,1,8,1,9,1,,,,catch,0,0,,0,0,2.12,,
51,2,True,1,8,1,7,1,,,,catch,0,0,,0,0,2.14,,
52,2,True,1,7,0,2,0,,,,catch,0,0,,0,0,2.72,,
53,2,True,0,8,0,13,1,,,,catch,0,0,,0,0,2.26,,
54,2,True,0,8,0,4,1,,,,catch,0,0,,0,0,2.15,,
55,2,True,0,7,0,4,1,,,,catch,0,0,,0,0,2.07,,
56,2,True,1,7,1,15,1,,,,catch,0,0,,0,0,2.62,,
57,2,True,0,6,0,7,1,,,,catch,0,0,,0,0,2.69,,
58,2,True,0,6,1,17,0,,,,catch,0,0,,0,0,2.31,,
59,2,True,1,7,1,6,1,,,,catch,0,0,,0,0,2.5,,
60,2,True,1,7,0,3,0,,,,catch,0,0,,0,0,2.05,,
61,3,True,0,8,1,3,0,,,,catch,0,0,,0,0,2.57,,
62,3,True,0,9,0,9,1,,,,catch,0,0,,0,0,2.38,,
63,3,True,0,9,0,18,1,,,,catch,0,0,,0,0,2.31,,
64,3,True,1,8,0,10,0,,,,catch,0,0,,0,0,2.72,,
65,3,True,0,9,0,4,1,,,,catch,0,0,,0,0,2.53,,
66,3,True,0,9,0,30,1,,,,catch,0,0,,0,0,3.24,,
67,3,True,0,8,0,33,1,,,,catch,0,0,,0,0,2.34,,
68,3,True,0,8,0,39,1,,,,catch,0,0,,0,0,2.6,,
69,3,True,1,7,1,34,1,,,,catch,0,0,,0,0,2.79,,
70,3,True,1,7,0,2,0,,,,catch,0,0,,0,0,2.58,,
71,3,True,0,8,0,27,1,,,,catch,0,0,,0,0,2.63,,
72,3,True,1,8,1,20,1,,,,catch,0,0,,0,0,2.42,,
73,3,True,0,7,0,16,1,,,,catch,0,0,,0,0,2.11,,
74,3,True,0,7,0,14,1,,,,catch,0,0,,0,0,2.17,,
75,3,True,0,6,0,6,1,,,,catch,0,0,,0,0,1.92,,
76,3,True,0,6,1,3,0,,,,catch,0,0,,0,0,2.25,,
77,3,True,0,7,0,35,1,,,,catch,0,0,,0,0,2.13,,
78,3,True,1,7,0,32,0,,,,catch,0,0,,0,0,2.62,,
79,3,True,0,8,0,4,1,,,,catch,0,0,,0,0,2.27,,
80,3,True,0,8,0,18,1,,,,catch,0,0,,0,0,1.99,,
81,3,True,1,7,1,24,1,,,,catch,0,0,,0,0,2.07,,
82,3,True,0,7,0,13,1,,,,catch,0,0,,0,0,1.96,,
