trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,11,0,,,,catch,0,0,,0,0,20.92,,
2,1,True,0,15,1,5,0,,,,catch,0,0,,0,0,10.32,,
3,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,8.22,,
4,1,True,1,15,0,4,0,,,,catch,0,0,,0,0,5.71,,
5,1,True,1,15,1,5,1,,,,catch,0,0,,0,0,4.83,,
6,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,6.19,,
7,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,4.28,,
8,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,3.79,,
9,1,True,0,14,0,3,1,,,,catch,0,0,,0,0,5.62,,
10,1,True,1,14,1,10,1,,,,catch,0,0,,0,0,5.83,,
11,1,True,1,13,0,9,0,,,,catch,0,0,,0,0,3.27,,
12,1,True,0,14,1,7,0,,,,catch,0,0,,0,0,2.93,,
13,1,True,0,15,0,6,1,,,,catch,0,0,,0,0,6.5,,
14,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,3.22,,
15,1,True,1,14,1,13,1,,,,catch,0,0,,0,0,6.44,,
16,1,True,0,14,0,17,1,,,,catch,0,0,,0,0,5.26,,
17,1,True,0,13,0,18,1,,,,catch,0,0,,0,0,3.17,,
18,1,True,1,13,1,17,1,,,,catch,0,0,,0,0,10.73,,
19,1,True,1,12,1,18,1,,,,catch,0,0,,0,0,5.41,,
20,1,True,1,12,0,18,0,,,,catch,0,0,,0,0,2.73,,
21,1,True,1,13,1,17,1,,,,catch,0,0,,0,0,3.29,,
22,1,True,1,13,0,15,0,,,,catch,0,0,,0,0,3.21,,
23,1,True,1,14,1,13,1,,,,catch,0,0,,0,0,3.75,,
24,1,True,0,14,0,16,1,,,,catch,0,0,,0,0,3.39,,
25,1,True,1,13,0,19,0,,,,catch,0,0,,0,0,2.4,,
26,1,True,1,14,0,22,0,,,,catch,0,0,,0,0,2.11,,
27,1,True,0,15,0,23,1,,,,catch,0,0,,0,0,1.78,,
28,1,True,1,15,0,17,0,,,,catch,0,0,,0,0,2.79,,
29,1,True,0,15,0,18,1,,,,catch,0,0,,0,0,3.01,,
30,1,True,1,15,0,21,0,,,,catch,0,0,,0,0,4.62,,
31,2,True,0,15,0,15,1,,,,catch,0,0,,0,0,2.43,,
32,2,True,0,15,0,15,1,,,,catch,0,0,,0,0,1.6,,
33,2,True,1,14,1,12,1,,,,catch,0,0,,0,0,3.2,,
34,2,True,1,14,0,18,0,,,,catch,0,0,,0,0,2.48,,
35,2,True,0,15,0,19,1,,,,catch,0,0,,0,0,3.05,,
36,2,True,0,15,1,14,0,,,,catch,0,0,,0,0,2.3,,
37,2,True,0,15,0,19,1,,,,catch,0,0,,0,0,1.96,,
38,2,True,1,15,0,22,0,,,,catch,0,0,,0,0,2.18,,
39,2,True,0,15,0,25,1,,,,catch,0,0,,0,0,2.07,,
40,2,True,0,15,0,19,1,,,,catch,0,0,,0,0,1.97,,
41,2,True,0,14,0,21,1,,,,catch,0,0,,0,0,3.04,,
42,2,True,1,14,0,22,0,,,,catch,0,0,,0,0,1.77,,
43,2,True,1,15,0,15,0,,,,catch,0,0,,0,0,2.49,,
44,2,True,0,15,1,10,0,,,,catch,0,0,,0,0,3.07,,
45,2,True,0,15,0,18,1,,,,catch,0,0,,0,0,1.81,,
46,2,True,1,15,0,19,0,,,,catch,0,0,,0,0,1.86,,
47,2,True,0,15,1,19,0,,,,catch,0,0,,0,0,3.29,,
48,2,True,0,15,0,18,1,,,,catch,0,0,,0,0,2.35,,
49,2,True,0,15,0,14,1,,,,catch,0,0,,0,0,4.07,,
50,2,True,1,14,1,8,1,,,,catch,0,0,,0,0,4.88,,
51,2,True,0,14,0,21,1,,,,catch,0,0,,0,0,2.08,,
52,2,True,1,13,0,25,0,,,,catch,0,0,,0,0,1.69,,
53,2,True,1,14,1,15,1,,,,catch,0,0,,0,0,2.19,,
54,2,True,1,14,1,24,1,,,,catch,0,0,,0,0,2.7,,
55,2,True,0,13,1,19,0,,,,catch,0,0,,0,0,2.21,,
56,2,True,1,14,0,23,0,,,,catch,0,0,,0,0,1.78,,
57,2,True,0,15,0,27,1,,,,catch,0,0,,0,0,2.28,,
58,2,True,1,15,0,34,0,,,,catch,0,0,,0,0,1.52,,
59,2,True,1,15,0,31,0,,,,catch,0,0,,0,0,1.9,,
60,2,True,0,15,1,19,0,,,,catch,0,0,,0,0,3.24,,
61,3,True,0,15,0,22,1,,,,catch,0,0,,0,0,4.75,,
62,3,True,0,15,1,15,0,,,,catch,0,0,,0,0,3.77,,
63,3,True,0,15,0,28,1,,,,catch,0,0,,0,0,1.88,,
64,3,True,1,15,0,24,0,,,,catch,0,0,,0,0,3.01,,
65,3,True,0,15,1,25,0,,,,catch,0,0,,0,0,3.24,,
66,3,True,1,15,1,26,1,,,,catch,0,0,,0,0,2.07,,
67,3,True,0,15,0,22,1,,,,catch,0,0,,0,0,1.97,,
68,3,True,0,14,1,21,0,,,,catch,0,0,,0,0,2.99,,
69,3,True,0,15,0,33,1,,,,catch,0,0,,0,0,1.7,,
70,3,True,1,15,1,28,1,,,,catch,0,0,,0,0,2.16,,
71,3,True,0,14,0,24,1,,,,catch,0,0,,0,0,2.32,,
72,3,True,0,14,0,33,1,,,,catch,0,0,,0,0,1.63,,
73,3,True,1,13,0,35,0,,,,catch,0,0,,0,0,1.83,,
74,3,True,0,14,1,25,0,,,,catch,0,0,,0,0,3.09,,
75,3,True,1,15,1,34,1,,,,catch,0,0,,0,0,1.94,,
76,3,True,1,15,0,32,0,,,,catch,0,0,,0,0,2.64,,
77,3,True,0,15,1,33,0,,,,catch,0,0,,0,0,2.2,,
78,3,True,1,15,0,26,0,,,,catch,0,0,,0,0,4.08,,
79,3,True,1,15,0,27,0,,,,catch,0,0,,0,0,4.49,,
80,3,True,0,15,1,21,0,,,,catch,0,0,,0,0,3.81,,
81,3,True,0,15,0,22,1,,,,catch,0,0,,0,0,4.38,,
82,3,True,0,15,1,30,0,,,,catch,0,0,,0,0,2.53,,
83,3,True,0,15,0,29,1,,,,catch,0,0,,0,0,1.9,,
84,3,True,0,15,1,36,0,,,,catch,0,0,,0,0,3.13,,
85,3,True,1,15,0,31,0,,,,catch,0,0,,0,0,5.07,,
86,3,True,0,15,1,20,0,,,,catch,0,0,,0,0,4.19,,
87,3,True,0,15,0,20,1,,,,catch,0,0,,0,0,2.7,,
88,3,True,0,15,0,35,1,,,,catch,0,0,,0,0,4.0,,
89,3,True,1,14,1,17,1,,,,catch,0,0,,0,0,5.33,,
90,3,True,0,14,1,40,0,,,,catch,0,0,,0,0,4.65,,
91,4,False,1,15,1,21,1,1,19,1,choice,1,1,1,1,0,2.91,12.67,14.92
92,4,False,0,15,0,25,1,0,26,1,force,2,0,0,1,0,4.81,8.49,9.51
93,4,False,1,15,1,30,1,1,29,1,choice,1,2,1,1,0,4.1,2.6,9.54
94,4,False,0,15,1,31,0,1,31,0,force,1,0,1,0,0,4.44,2.81,3.82
95,4,False,0,15,0,34,1,1,32,0,force,2,0,1,0,0,4.44,7.71,8.72
96,4,False,0,15,0,30,1,0,30,1,force,1,0,0,1,0,4.15,2.73,3.75
97,4,False,0,15,0,29,1,0,29,1,choice,1,1,0,1,0,2.2,2.53,5.19
