trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,16,0,,,,catch,0,0,,0,0,3.28,,
2,1,True,0,15,1,18,0,,,,catch,0,0,,0,0,5.88,,
3,1,True,1,15,0,12,0,,,,catch,0,0,,0,0,2.34,,
4,1,True,0,15,0,13,1,,,,catch,0,0,,0,0,2.31,,
5,1,True,1,15,1,19,1,,,,catch,0,0,,0,0,1.98,,
6,1,True,0,14,0,26,1,,,,catch,0,0,,0,0,1.83,,
7,1,True,0,14,0,36,1,,,,catch,0,0,,0,0,1.59,,
8,1,True,0,13,0,29,1,,,,catch,0,0,,0,0,1.6,,
9,1,True,1,13,1,26,1,,,,catch,0,0,,0,0,1.77,,
10,1,True,0,12,1,36,0,,,,catch,0,0,,0,0,1.29,,
11,1,True,0,13,1,18,0,,,,catch,0,0,,0,0,1.28,,
12,1,True,1,14,0,27,0,,,,catch,0,0,,0,0,1.34,,
13,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,1.21,,
14,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,1.56,,
15,1,True,0,14,0,32,1,,,,catch,0,0,,0,0,1.5,,
16,1,True,1,14,1,24,1,,,,catch,0,0,,0,0,1.27,,
17,1,True,0,13,0,35,1,,,,catch,0,0,,0,0,1.37,,
18,1,True,0,13,1,28,0,,,,catch,0,0,,0,0,1.39,,
19,1,True,1,14,1,30,1,,,,catch,0,0,,0,0,1.21,,
20,1,True,1,14,1,31,1,,,,catch,0,0,,0,0,1.12,,
21,1,True,0,13,0,35,1,,,,catch,0,0,,0,0,1.62,,
22,1,True,0,13,0,50,1,,,,catch,0,0,,0,0,1.73,,
23,1,True,0,12,0,50,1,,,,catch,0,0,,0,0,1.37,,
24,1,True,1,12,0,43,0,,,,catch,0,0,,0,0,1.28,,
25,1,True,1,13,1,21,1,,,,catch,0,0,,0,0,1.29,,
26,1,True,0,13,0,41,1,,,,catch,0,0,,0,0,1.39,,
27,1,True,0,12,0,31,1,,,,catch,0,0,,0,0,1.06,,
28,1,True,1,12,0,43,0,,,,catch,0,0,,0,0,1.24,,
29,1,True,0,13,1,33,0,,,,catch,0,0,,0,0,1.49,,
30,1,True,1,14,1,31,1,,,,catch,0,0,,0,0,1.63,,
31,2,True,1,14,1,30,1,,,,catch,0,0,,0,0,1.18,,
32,2,True,1,13,0,31,0,,,,catch,0,0,,0,0,1.08,,
33,2,True,0,14,0,48,1,,,,catch,0,0,,0,0,1.11,,
34,2,True,1,14,1,29,1,,,,catch,0,0,,0,0,1.1,,
35,2,True,1,13,0,42,0,,,,catch,0,0,,0,0,1.17,,
36,2,True,0,14,0,39,1,,,,catch,0,0,,0,0,1.48,,
37,2,True,0,14,0,39,1,,,,catch,0,0,,0,0,1.45,,
38,2,True,1,13,0,39,0,,,,catch,0,0,,0,0,1.23,,
39,2,True,0,14,0,40,1,,,,catch,0,0,,0,0,0.95,,
40,2,True,0,14,0,34,1,,,,catch,0,0,,0,0,0.91,,
41,2,True,1,13,0,31,0,,,,catch,0,0,,0,0,1.02,,
42,2,True,1,14,0,40,0,,,,catch,0,0,,0,0,1.07,,
43,2,True,1,15,0,38,0,,,,catch,0,0,,0,0,1.37,,
44,2,True,0,15,1,31,0,,,,catch,0,0,,0,0,1.55,,
45,2,True,1,15,0,32,0,,,,catch,0,0,,0,0,1.15,,
46,2,True,1,15,1,26,1,,,,catch,0,0,,0,0,1.13,,
47,2,True,0,15,0,23,1,,,,catch,0,0,,0,0,1.03,,
48,2,True,0,14,0,43,1,,,,catch,0,0,,0,0,1.16,,
49,2,True,1,14,0,48,0,,,,catch,0,0,,0,0,1.64,,
50,2,True,1,15,1,43,1,,,,catch,0,0,,0,0,1.33,,
51,2,True,1,15,1,41,1,,,,catch,0,0,,0,0,1.03,,
52,2,True,0,14,0,45,1,,,,catch,0,0,,0,0,1.16,,
53,2,True,0,14,0,38,1,,,,catch,0,0,,0,0,1.26,,
54,2,True,0,13,0,37,1,,,,catch,0,0,,0,0,1.11,,
55,2,True,0,13,0,33,1,,,,catch,0,0,,0,0,1.25,,
56,2,True,0,12,0,39,1,,,,catch,0,0,,0,0,1.61,,
