trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,34,0,,,,catch,0,0,,0,0,13.22,,
2,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,8.59,,
3,1,True,1,15,0,32,0,,,,catch,0,0,,0,0,2.4,,
4,1,True,1,15,0,17,0,,,,catch,0,0,,0,0,3.07,,
5,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,3.19,,
6,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,2.04,,
7,1,True,0,14,0,10,1,,,,catch,0,0,,0,0,2.49,,
8,1,True,1,14,1,10,1,,,,catch,0,0,,0,0,2.66,,
9,1,True,1,13,0,9,0,,,,catch,0,0,,0,0,1.88,,
10,1,True,1,14,1,11,1,,,,catch,0,0,,0,0,1.58,,
11,1,True,0,14,0,7,1,,,,catch,0,0,,0,0,2.27,,
12,1,True,1,13,1,7,1,,,,catch,0,0,,0,0,1.74,,
13,1,True,1,13,1,9,1,,,,catch,0,0,,0,0,2.17,,
14,1,True,1,12,0,13,0,,,,catch,0,0,,0,0,2.07,,
15,1,True,0,13,0,9,1,,,,catch,0,0,,0,0,2.09,,
16,1,True,1,13,1,8,1,,,,catch,0,0,,0,0,1.71,,
17,1,True,0,12,0,9,1,,,,catch,0,0,,0,0,1.89,,
18,1,True,0,12,1,15,0,,,,catch,0,0,,0,0,1.85,,
19,1,True,1,13,0,16,0,,,,catch,0,0,,0,0,2.04,,
20,1,True,1,14,1,15,1,,,,catch,0,0,,0,0,2.47,,
21,1,True,0,14,0,11,1,,,,catch,0,0,,0,0,1.66,,
22,1,True,1,13,0,13,0,,,,catch,0,0,,0,0,1.66,,
23,1,True,0,14,0,12,1,,,,catch,0,0,,0,0,1.84,,
24,1,True,0,14,1,13,0,,,,catch,0,0,,0,0,2.31,,
25,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,2.27,,
26,1,True,0,15,0,9,1,,,,catch,0,0,,0,0,2.94,,
27,1,True,1,14,0,8,0,,,,catch,0,0,,0,0,2.04,,
28,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,1.71,,
29,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,1.81,,
30,1,True,1,15,1,1,1,,,,catch,0,0,,0,0,3.0,,
31,2,True,0,14,1,11,0,,,,catch,0,0,,0,0,1.42,,
32,2,True,0,15,0,1,1,,,,catch,0,0,,0,0,3.27,,
33,2,True,0,15,0,6,1,,,,catch,0,0,,0,0,2.11,,
34,2,True,0,14,0,6,1,,,,catch,0,0,,0,0,1.6,,
35,2,True,1,14,1,32,1,,,,catch,0,0,,0,0,2.26,,
36,2,True,0,13,1,5,0,,,,catch,0,0,,0,0,1.9,,
37,2,True,1,14,1,9,1,,,,catch,0,0,,0,0,2.01,,
