trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,6,0,,,,catch,0,0,,0,0,6.53,,
2,1,True,0,15,1,20,0,,,,catch,0,0,,0,0,8.45,,
3,1,True,0,15,1,36,0,,,,catch,0,0,,0,0,10.74,,
4,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,12.43,,
5,1,True,0,15,0,49,1,,,,catch,0,0,,0,0,14.54,,
6,1,True,0,14,0,49,1,,,,catch,0,0,,0,0,7.25,,
7,1,True,0,14,0,35,1,,,,catch,0,0,,0,0,5.03,,
8,1,True,0,13,0,45,1,,,,catch,0,0,,0,0,4.86,,
9,1,True,0,13,0,48,1,,,,catch,0,0,,0,0,5.09,,
10,1,True,0,12,0,42,1,,,,catch,0,0,,0,0,8.66,,
11,1,True,1,12,0,2,0,,,,catch,0,0,,0,0,15.48,,
12,1,True,0,13,0,42,1,,,,catch,0,0,,0,0,5.57,,
13,1,True,0,13,0,46,1,,,,catch,0,0,,0,0,7.19,,
14,1,True,0,12,0,20,1,,,,catch,0,0,,0,0,6.78,,
15,1,True,0,12,1,19,0,,,,catch,0,0,,0,0,4.17,,
16,1,True,0,13,0,30,1,,,,catch,0,0,,0,0,4.91,,
17,1,True,1,13,1,25,1,,,,catch,0,0,,0,0,5.93,,
18,1,True,1,12,1,50,1,,,,catch,0,0,,0,0,4.69,,
19,1,True,1,12,1,48,1,,,,catch,0,0,,0,0,5.31,,
20,1,True,0,11,0,45,1,,,,catch,0,0,,0,0,4.66,,
21,1,True,1,11,1,12,1,,,,catch,0,0,,0,0,4.44,,
22,1,True,1,10,1,50,1,,,,catch,0,0,,0,0,4.63,,
23,1,True,1,10,1,41,1,,,,catch,0,0,,0,0,28.96,,
24,1,True,1,9,1,49,1,,,,catch,0,0,,0,0,4.71,,
25,1,True,1,9,1,43,1,,,,catch,0,0,,0,0,3.45,,
26,1,True,1,8,1,25,1,,,,catch,0,0,,0,0,8.57,,
27,1,True,1,8,1,22,1,,,,catch,0,0,,0,0,2.65,,
28,1,True,1,7,1,27,1,,,,catch,0,0,,0,0,7.07,,
29,1,True,0,7,0,47,1,,,,catch,0,0,,0,0,6.21,,
