trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,1,0,,,,catch,0,0,,0,0,32.09,,
2,1,True,1,15,1,16,1,,,,catch,0,0,,0,0,6.98,,
3,1,True,0,15,0,20,1,,,,catch,0,0,,0,0,2.13,,
4,1,True,0,14,0,36,1,,,,catch,0,0,,0,0,2.58,,
5,1,True,1,14,1,26,1,,,,catch,0,0,,0,0,2.51,,
6,1,True,0,13,0,26,1,,,,catch,0,0,,0,0,1.66,,
7,1,True,1,13,0,27,0,,,,catch,0,0,,0,0,2.04,,
8,1,True,1,14,0,21,0,,,,catch,0,0,,0,0,2.11,,
9,1,True,0,15,0,28,1,,,,catch,0,0,,0,0,1.69,,
10,1,True,1,15,1,23,1,,,,catch,0,0,,0,0,1.92,,
11,1,True,1,14,1,29,1,,,,catch,0,0,,0,0,1.81,,
12,1,True,1,14,1,36,1,,,,catch,0,0,,0,0,1.87,,
13,1,True,1,13,0,28,0,,,,catch,0,0,,0,0,1.55,,
14,1,True,0,14,0,24,1,,,,catch,0,0,,0,0,1.49,,
15,1,True,1,14,1,25,1,,,,catch,0,0,,0,0,1.62,,
16,1,True,0,13,0,24,1,,,,catch,0,0,,0,0,1.56,,
17,1,True,0,13,1,21,0,,,,catch,0,0,,0,0,1.82,,
18,1,True,1,14,0,22,0,,,,catch,0,0,,0,0,1.77,,
19,1,True,1,15,1,19,1,,,,catch,0,0,,0,0,1.49,,
20,1,True,0,15,0,25,1,,,,catch,0,0,,0,0,1.56,,
21,1,True,1,14,0,40,0,,,,catch,0,0,,0,0,1.61,,
22,1,True,1,15,1,29,1,,,,catch,0,0,,0,0,1.59,,
23,1,True,0,15,1,39,0,,,,catch,0,0,,0,0,1.54,,
24,1,True,1,15,0,27,0,,,,catch,0,0,,0,0,1.39,,
25,1,True,0,15,0,21,1,,,,catch,0,0,,0,0,1.69,,
26,1,True,1,15,0,9,0,,,,catch,0,0,,0,0,1.63,,
27,1,True,0,15,1,16,0,,,,catch,0,0,,0,0,1.56,,
28,1,True,1,15,1,16,1,,,,catch,0,0,,0,0,1.95,,
29,1,True,1,15,1,31,1,,,,catch,0,0,,0,0,1.4,,
30,1,True,1,14,0,22,0,,,,catch,0,0,,0,0,1.3,,
31,2,True,1,15,0,30,0,,,,catch,0,0,,0,0,2.0,,
32,2,True,1,15,0,19,0,,,,catch,0,0,,0,0,1.34,,
33,2,True,0,15,0,17,1,,,,catch,0,0,,0,0,1.26,,
34,2,True,1,15,1,27,1,,,,catch,0,0,,0,0,1.27,,
35,2,True,1,14,1,43,1,,,,catch,0,0,,0,0,1.2,,
36,2,True,1,14,0,25,0,,,,catch,0,0,,0,0,1.12,,
37,2,True,1,15,0,11,0,,,,catch,0,0,,0,0,1.15,,
38,2,True,1,15,1,26,1,,,,catch,0,0,,0,0,1.12,,
39,2,True,1,15,0,21,0,,,,catch,0,0,,0,0,0.92,,
