trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,11,0,,,,catch,0,0,,0,0,10.53,,
2,1,True,0,15,0,31,1,,,,catch,0,0,,0,0,5.44,,
3,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,11.4,,
4,1,True,0,14,0,32,1,,,,catch,0,0,,0,0,5.73,,
5,1,True,1,14,0,40,0,,,,catch,0,0,,0,0,4.29,,
6,1,True,0,15,0,32,1,,,,catch,0,0,,0,0,5.04,,
7,1,True,1,15,1,19,1,,,,catch,0,0,,0,0,4.49,,
8,1,True,1,14,0,38,0,,,,catch,0,0,,0,0,2.98,,
9,1,True,0,15,0,25,1,,,,catch,0,0,,0,0,3.53,,
10,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,3.01,,
11,1,True,0,14,0,37,1,,,,catch,0,0,,0,0,2.62,,
12,1,True,1,14,0,37,0,,,,catch,0,0,,0,0,2.54,,
13,1,True,1,15,1,17,1,,,,catch,0,0,,0,0,3.58,,
14,1,True,0,15,0,34,1,,,,catch,0,0,,0,0,2.37,,
15,1,True,0,14,0,37,1,,,,catch,0,0,,0,0,3.07,,
16,1,True,1,14,0,37,0,,,,catch,0,0,,0,0,2.44,,
17,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,2.54,,
18,1,True,0,15,0,34,1,,,,catch,0,0,,0,0,2.22,,
19,1,True,0,14,0,36,1,,,,catch,0,0,,0,0,1.97,,
20,1,True,0,14,0,38,1,,,,catch,0,0,,0,0,2.59,,
21,1,True,1,13,0,42,0,,,,catch,0,0,,0,0,2.95,,
22,1,True,1,14,1,29,1,,,,catch,0,0,,0,0,2.07,,
23,1,True,1,14,0,40,0,,,,catch,0,0,,0,0,2.02,,
24,1,True,0,15,0,25,1,,,,catch,0,0,,0,0,2.21,,
25,1,True,1,15,1,21,1,,,,catch,0,0,,0,0,1.88,,
26,1,True,0,14,0,41,1,,,,catch,0,0,,0,0,2.17,,
27,1,True,0,14,0,40,1,,,,catch,0,0,,0,0,2.03,,
28,1,True,1,13,0,40,0,,,,catch,0,0,,0,0,2.4,,
29,1,True,0,14,1,31,0,,,,catch,0,0,,0,0,2.35,,
30,1,True,0,15,0,40,1,,,,catch,0,0,,0,0,2.05,,
31,2,True,0,15,1,15,0,,,,catch,0,0,,0,0,2.48,,
32,2,True,0,15,0,34,1,,,,catch,0,0,,0,0,4.57,,
33,2,True,0,15,0,33,1,,,,catch,0,0,,0,0,1.95,,
34,2,True,0,14,0,39,1,,,,catch,0,0,,0,0,2.03,,
35,2,True,0,14,1,32,0,,,,catch,0,0,,0,0,2.22,,
36,2,True,0,15,0,41,1,,,,catch,0,0,,0,0,2.33,,
37,2,True,1,15,0,37,0,,,,catch,0,0,,0,0,2.03,,
38,2,True,0,15,0,38,1,,,,catch,0,0,,0,0,2.76,,
39,2,True,1,15,1,29,1,,,,catch,0,0,,0,0,1.78,,
40,2,True,1,14,0,41,0,,,,catch,0,0,,0,0,2.14,,
41,2,True,1,15,0,32,0,,,,catch,0,0,,0,0,2.68,,
42,2,True,1,15,1,33,1,,,,catch,0,0,,0,0,2.12,,
43,2,True,1,15,0,38,0,,,,catch,0,0,,0,0,2.46,,
44,2,True,1,15,1,25,1,,,,catch,0,0,,0,0,2.11,,
45,2,True,0,15,0,38,1,,,,catch,0,0,,0,0,2.32,,
46,2,True,0,14,0,41,1,,,,catch,0,0,,0,0,2.06,,
47,2,True,1,14,1,26,1,,,,catch,0,0,,0,0,2.57,,
48,2,True,0,13,0,41,1,,,,catch,0,0,,0,0,2.21,,
49,2,True,1,13,1,35,1,,,,catch,0,0,,0,0,1.93,,
50,2,True,1,12,0,35,0,,,,catch,0,0,,0,0,2.34,,
51,2,True,1,13,0,38,0,,,,catch,0,0,,0,0,1.84,,
52,2,True,0,14,1,28,0,,,,catch,0,0,,0,0,2.28,,
53,2,True,1,15,0,35,0,,,,catch,0,0,,0,0,2.01,,
54,2,True,0,15,0,36,1,,,,catch,0,0,,0,0,2.78,,
55,2,True,0,15,0,35,1,,,,catch,0,0,,0,0,2.32,,
56,2,True,0,14,1,23,0,,,,catch,0,0,,0,0,2.04,,
57,2,True,0,15,0,37,1,,,,catch,0,0,,0,0,2.12,,
58,2,True,0,15,0,36,1,,,,catch,0,0,,0,0,2.17,,
59,2,True,0,14,0,38,1,,,,catch,0,0,,0,0,2.1,,
60,2,True,0,14,0,28,1,,,,catch,0,0,,0,0,2.12,,
61,3,True,0,13,0,30,1,,,,catch,0,0,,0,0,1.9,,
62,3,True,1,13,0,33,0,,,,catch,0,0,,0,0,2.36,,
63,3,True,1,14,1,22,1,,,,catch,0,0,,0,0,1.89,,
64,3,True,0,14,0,31,1,,,,catch,0,0,,0,0,1.8,,
65,3,True,1,13,0,29,0,,,,catch,0,0,,0,0,1.88,,
66,3,True,1,14,1,24,1,,,,catch,0,0,,0,0,2.93,,
67,3,True,0,14,0,34,1,,,,catch,0,0,,0,0,2.23,,
68,3,True,0,13,0,35,1,,,,catch,0,0,,0,0,2.32,,
69,3,True,1,13,0,33,0,,,,catch,0,0,,0,0,1.91,,
70,3,True,0,14,0,24,1,,,,catch,0,0,,0,0,1.88,,
71,3,True,0,14,0,29,1,,,,catch,0,0,,0,0,2.09,,
72,3,True,1,13,0,32,0,,,,catch,0,0,,0,0,2.14,,
73,3,True,1,14,1,27,1,,,,catch,0,0,,0,0,2.14,,
