trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,1,1,,,,catch,0,0,,0,0,4.06,,
2,1,True,0,15,0,23,1,,,,catch,0,0,,0,0,2.82,,
3,1,True,1,15,1,5,1,,,,catch,0,0,,0,0,3.55,,
4,1,True,0,14,0,3,1,,,,catch,0,0,,0,0,3.78,,
5,1,True,1,14,0,14,0,,,,catch,0,0,,0,0,3.24,,
6,1,True,0,15,1,18,0,,,,catch,0,0,,0,0,4.51,,
7,1,True,1,15,0,24,0,,,,catch,0,0,,0,0,2.55,,
8,1,True,1,15,1,27,1,,,,catch,0,0,,0,0,2.31,,
9,1,True,0,15,1,24,0,,,,catch,0,0,,0,0,2.28,,
10,1,True,1,15,1,39,1,,,,catch,0,0,,0,0,2.39,,
11,1,True,0,15,1,38,0,,,,catch,0,0,,0,0,2.11,,
12,1,True,0,15,0,22,1,,,,catch,0,0,,0,0,2.24,,
13,1,True,0,15,0,33,1,,,,catch,0,0,,0,0,2.38,,
14,1,True,0,14,1,30,0,,,,catch,0,0,,0,0,2.46,,
15,1,True,0,15,0,14,1,,,,catch,0,0,,0,0,2.47,,
16,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,1.95,,
17,1,True,1,14,0,16,0,,,,catch,0,0,,0,0,2.46,,
18,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,1.95,,
19,1,True,0,15,1,26,0,,,,catch,0,0,,0,0,2.09,,
20,1,True,0,15,0,5,1,,,,catch,0,0,,0,0,1.9,,
21,1,True,1,15,1,39,1,,,,catch,0,0,,0,0,2.47,,
22,1,True,1,14,1,30,1,,,,catch,0,0,,0,0,2.33,,
23,1,True,1,14,1,27,1,,,,catch,0,0,,0,0,2.39,,
24,1,True,0,13,1,37,0,,,,catch,0,0,,0,0,2.35,,
25,1,True,0,14,0,27,1,,,,catch,0,0,,0,0,2.04,,
26,1,True,1,14,0,3,0,,,,catch,0,0,,0,0,2.39,,
27,1,True,0,15,0,2,1,,,,catch,0,0,,0,0,2.19,,
28,1,True,0,15,1,5,0,,,,catch,0,0,,0,0,2.07,,
29,1,True,0,15,1,24,0,,,,catch,0,0,,0,0,2.26,,
30,1,True,1,15,0,8,0,,,,catch,0,0,,0,0,1.98,,
31,2,True,0,15,0,6,1,,,,catch,0,0,,0,0,2.19,,
32,2,True,1,15,0,4,0,,,,catch,0,0,,0,0,1.94,,
33,2,True,1,15,1,15,1,,,,catch,0,0,,0,0,1.89,,
34,2,True,0,15,0,14,1,,,,catch,0,0,,0,0,2.82,,
