trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,17,0,,,,catch,0,0,,0,0,4.86,,
2,1,True,0,15,0,14,1,,,,catch,0,0,,0,0,2.73,,
3,1,True,1,15,1,15,1,,,,catch,0,0,,0,0,3.42,,
4,1,True,1,14,1,32,1,,,,catch,0,0,,0,0,2.34,,
5,1,True,1,14,1,29,1,,,,catch,0,0,,0,0,2.6,,
6,1,True,1,13,1,27,1,,,,catch,0,0,,0,0,2.24,,
7,1,True,0,13,0,18,1,,,,catch,0,0,,0,0,3.2,,
8,1,True,0,12,1,12,0,,,,catch,0,0,,0,0,2.86,,
9,1,True,1,13,1,29,1,,,,catch,0,0,,0,0,2.43,,
10,1,True,0,13,1,21,0,,,,catch,0,0,,0,0,2.2,,
11,1,True,1,14,1,35,1,,,,catch,0,0,,0,0,2.22,,
12,1,True,1,14,1,27,1,,,,catch,0,0,,0,0,2.45,,
13,1,True,1,13,0,23,0,,,,catch,0,0,,0,0,2.37,,
14,1,True,0,14,1,12,0,,,,catch,0,0,,0,0,2.08,,
15,1,True,1,15,1,27,1,,,,catch,0,0,,0,0,2.07,,
16,1,True,1,15,1,20,1,,,,catch,0,0,,0,0,2.27,,
17,1,True,0,14,0,16,1,,,,catch,0,0,,0,0,2.18,,
18,1,True,0,14,0,23,1,,,,catch,0,0,,0,0,2.36,,
19,1,True,1,13,1,28,1,,,,catch,0,0,,0,0,1.89,,
20,1,True,1,13,1,19,1,,,,catch,0,0,,0,0,1.67,,
21,1,True,0,12,0,30,1,,,,catch,0,0,,0,0,2.0,,
22,1,True,0,12,0,23,1,,,,catch,0,0,,0,0,2.23,,
23,1,True,0,11,0,33,1,,,,catch,0,0,,0,0,2.08,,
24,1,True,0,11,0,35,1,,,,catch,0,0,,0,0,2.41,,
25,1,True,0,10,0,29,1,,,,catch,0,0,,0,0,2.66,,
26,1,True,1,10,0,17,0,,,,catch,0,0,,0,0,2.88,,
27,1,True,1,11,1,14,1,,,,catch,0,0,,0,0,2.15,,
28,1,True,0,11,0,26,1,,,,catch,0,0,,0,0,2.18,,
29,1,True,0,10,0,33,1,,,,catch,0,0,,0,0,2.14,,
30,1,True,0,10,0,42,1,,,,catch,0,0,,0,0,2.1,,
31,2,True,0,9,0,27,1,,,,catch,0,0,,0,0,2.12,,
32,2,True,0,9,0,29,1,,,,catch,0,0,,0,0,1.76,,
33,2,True,1,8,0,29,0,,,,catch,0,0,,0,0,1.88,,
34,2,True,1,9,0,28,0,,,,catch,0,0,,0,0,1.9,,
35,2,True,1,10,0,22,0,,,,catch,0,0,,0,0,2.24,,
36,2,True,0,11,0,36,1,,,,catch,0,0,,0,0,2.43,,
37,2,True,1,11,1,26,1,,,,catch,0,0,,0,0,1.97,,
38,2,True,1,10,1,14,1,,,,catch,0,0,,0,0,2.63,,
39,2,True,1,10,0,20,0,,,,catch,0,0,,0,0,2.02,,
40,2,True,1,11,0,27,0,,,,catch,0,0,,0,0,1.88,,
41,2,True,1,12,0,27,0,,,,catch,0,0,,0,0,1.86,,
42,2,True,0,13,0,21,1,,,,catch,0,0,,0,0,1.91,,
43,2,True,1,13,1,26,1,,,,catch,0,0,,0,0,2.01,,
44,2,True,0,12,0,25,1,,,,catch,0,0,,0,0,2.04,,
45,2,True,1,12,1,11,1,,,,catch,0,0,,0,0,2.42,,
46,2,True,0,11,0,13,1,,,,catch,0,0,,0,0,2.69,,
47,2,True,0,11,0,19,1,,,,catch,0,0,,0,0,2.24,,
48,2,True,1,10,1,10,1,,,,catch,0,0,,0,0,2.22,,
49,2,True,0,10,0,11,1,,,,catch,0,0,,0,0,2.25,,
50,2,True,0,9,0,27,1,,,,catch,0,0,,0,0,2.05,,
51,2,True,0,9,0,19,1,,,,catch,0,0,,0,0,1.85,,
52,2,True,0,8,0,32,1,,,,catch,0,0,,0,0,2.01,,
53,2,True,1,8,1,10,1,,,,catch,0,0,,0,0,2.1,,
54,2,True,1,7,0,21,0,,,,catch,0,0,,0,0,1.79,,
55,2,True,0,8,0,22,1,,,,catch,0,0,,0,0,1.89,,
56,2,True,0,8,1,14,0,,,,catch,0,0,,0,0,1.99,,
57,2,True,0,9,0,19,1,,,,catch,0,0,,0,0,1.81,,
58,2,True,0,9,1,7,0,,,,catch,0,0,,0,0,2.41,,
59,2,True,0,10,0,19,1,,,,catch,0,0,,0,0,1.96,,
60,2,True,0,10,1,11,0,,,,catch,0,0,,0,0,2.23,,
61,3,True,0,11,0,12,1,,,,catch,0,0,,0,0,1.96,,
62,3,True,0,11,0,22,1,,,,catch,0,0,,0,0,2.07,,
63,3,True,0,10,0,17,1,,,,catch,0,0,,0,0,1.76,,
64,3,True,0,10,0,25,1,,,,catch,0,0,,0,0,2.16,,
65,3,True,1,9,0,8,0,,,,catch,0,0,,0,0,2.14,,
66,3,True,0,10,1,10,0,,,,catch,0,0,,0,0,1.9,,
67,3,True,0,11,1,22,0,,,,catch,0,0,,0,0,2.02,,
68,3,True,1,12,1,26,1,,,,catch,0,0,,0,0,2.04,,
69,3,True,1,12,0,18,0,,,,catch,0,0,,0,0,19.53,,
70,3,True,0,13,1,8,0,,,,catch,0,0,,0,0,1.8,,
71,3,True,1,14,1,14,1,,,,catch,0,0,,0,0,1.89,,
72,3,True,0,14,1,8,0,,,,catch,0,0,,0,0,1.9,,
73,3,True,1,15,1,24,1,,,,catch,0,0,,0,0,1.88,,
74,3,True,1,15,0,16,0,,,,catch,0,0,,0,0,2.01,,
75,3,True,1,15,1,26,1,,,,catch,0,0,,0,0,1.91,,
76,3,True,0,15,0,28,1,,,,catch,0,0,,0,0,1.96,,
77,3,True,0,14,0,29,1,,,,catch,0,0,,0,0,1.91,,
78,3,True,0,14,0,24,1,,,,catch,0,0,,0,0,1.86,,
79,3,True,0,13,0,32,1,,,,catch,0,0,,0,0,2.39,,
80,3,True,0,13,1,16,0,,,,catch,0,0,,0,0,1.63,,
81,3,True,1,14,0,18,0,,,,catch,0,0,,0,0,2.17,,
82,3,True,0,15,0,19,1,,,,catch,0,0,,0,0,1.99,,
83,3,True,0,15,1,11,0,,,,catch,0,0,,0,0,1.93,,
84,3,True,0,15,0,28,1,,,,catch,0,0,,0,0,1.75,,
85,3,True,0,15,0,23,1,,,,catch,0,0,,0,0,1.8,,
86,3,True,1,14,1,27,1,,,,catch,0,0,,0,0,1.95,,
87,3,True,0,14,0,33,1,,,,catch,0,0,,0,0,2.12,,
88,3,True,0,13,0,27,1,,,,catch,0,0,,0,0,2.22,,
89,3,True,0,13,1,26,0,,,,catch,0,0,,0,0,1.6,,
