trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,3.98,,
2,1,True,0,15,0,11,1,,,,catch,0,0,,0,0,2.18,,
3,1,True,0,15,0,8,1,,,,catch,0,0,,0,0,2.09,,
4,1,True,0,14,0,10,1,,,,catch,0,0,,0,0,1.9,,
5,1,True,1,14,1,13,1,,,,catch,0,0,,0,0,1.81,,
6,1,True,1,13,1,8,1,,,,catch,0,0,,0,0,2.56,,
7,1,True,0,13,1,7,0,,,,catch,0,0,,0,0,7.16,,
8,1,True,1,14,0,7,0,,,,catch,0,0,,0,0,3.9,,
9,1,True,0,15,1,6,0,,,,catch,0,0,,0,0,3.11,,
10,1,True,1,15,0,10,0,,,,catch,0,0,,0,0,1.76,,
11,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,1.9,,
12,1,True,0,15,1,10,0,,,,catch,0,0,,0,0,3.1,,
13,1,True,1,15,0,8,0,,,,catch,0,0,,0,0,2.29,,
14,1,True,0,15,1,9,0,,,,catch,0,0,,0,0,1.76,,
15,1,True,0,15,0,11,1,,,,catch,0,0,,0,0,2.63,,
16,1,True,1,15,0,8,0,,,,catch,0,0,,0,0,2.03,,
17,1,True,0,15,1,8,0,,,,catch,0,0,,0,0,4.63,,
18,1,True,1,15,0,10,0,,,,catch,0,0,,0,0,2.41,,
19,1,True,0,15,0,9,1,,,,catch,0,0,,0,0,2.3,,
20,1,True,1,15,0,8,0,,,,catch,0,0,,0,0,2.15,,
21,1,True,0,15,1,9,0,,,,catch,0,0,,0,0,1.9,,
22,1,True,0,15,0,8,1,,,,catch,0,0,,0,0,1.93,,
23,1,True,1,15,0,7,0,,,,catch,0,0,,0,0,2.04,,
24,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,1.86,,
25,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,2.07,,
26,1,True,1,14,0,9,0,,,,catch,0,0,,0,0,2.86,,
27,1,True,0,15,1,9,0,,,,catch,0,0,,0,0,1.71,,
28,1,True,1,15,0,7,0,,,,catch,0,0,,0,0,1.89,,
29,1,True,0,15,1,7,0,,,,catch,0,0,,0,0,1.78,,
30,1,True,0,15,0,8,1,,,,catch,0,0,,0,0,2.86,,
31,2,True,0,15,1,8,0,,,,catch,0,0,,0,0,3.28,,
32,2,True,1,15,0,10,0,,,,catch,0,0,,0,0,2.22,,
33,2,True,0,15,0,8,1,,,,catch,0,0,,0,0,2.07,,
34,2,True,1,15,1,7,1,,,,catch,0,0,,0,0,2.05,,
35,2,True,1,14,1,8,1,,,,catch,0,0,,0,0,2.03,,
36,2,True,0,14,1,6,0,,,,catch,0,0,,0,0,2.49,,
37,2,True,1,15,1,7,1,,,,catch,0,0,,0,0,1.77,,
38,2,True,0,15,0,9,1,,,,catch,0,0,,0,0,2.33,,
39,2,True,0,14,1,7,0,,,,catch,0,0,,0,0,1.77,,
40,2,True,0,15,0,9,1,,,,catch,0,0,,0,0,1.83,,
41,2,True,0,15,1,9,0,,,,catch,0,0,,0,0,2.47,,
42,2,True,0,15,0,8,1,,,,catch,0,0,,0,0,1.67,,
43,2,True,0,15,0,8,1,,,,catch,0,0,,0,0,1.75,,
