trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,14.16,,
2,1,True,0,15,0,9,1,,,,catch,0,0,,0,0,1.74,,
3,1,True,1,15,1,3,1,,,,catch,0,0,,0,0,2.12,,
4,1,True,0,14,0,16,1,,,,catch,0,0,,0,0,1.62,,
5,1,True,0,14,0,27,1,,,,catch,0,0,,0,0,1.58,,
6,1,True,0,13,0,20,1,,,,catch,0,0,,0,0,1.29,,
7,1,True,0,13,0,8,1,,,,catch,0,0,,0,0,1.37,,
8,1,True,1,12,1,8,1,,,,catch,0,0,,0,0,1.53,,
9,1,True,1,12,1,3,1,,,,catch,0,0,,0,0,5.24,,
10,1,True,0,11,1,5,0,,,,catch,0,0,,0,0,8.57,,
11,1,True,1,12,1,5,1,,,,catch,0,0,,0,0,2.77,,
12,1,True,0,12,1,5,0,,,,catch,0,0,,0,0,1.8,,
13,1,True,1,13,0,15,0,,,,catch,0,0,,0,0,2.16,,
14,1,True,0,14,0,27,1,,,,catch,0,0,,0,0,1.79,,
15,1,True,0,14,0,23,1,,,,catch,0,0,,0,0,1.49,,
16,1,True,0,13,0,16,1,,,,catch,0,0,,0,0,1.29,,
17,1,True,0,13,0,28,1,,,,catch,0,0,,0,0,1.58,,
18,1,True,1,12,0,4,0,,,,catch,0,0,,0,0,2.13,,
19,1,True,0,13,0,11,1,,,,catch,0,0,,0,0,1.42,,
20,1,True,0,13,0,10,1,,,,catch,0,0,,0,0,1.46,,
21,1,True,0,12,1,7,0,,,,catch,0,0,,0,0,1.81,,
22,1,True,0,13,1,6,0,,,,catch,0,0,,0,0,1.88,,
23,1,True,1,14,1,6,1,,,,catch,0,0,,0,0,1.62,,
24,1,True,0,14,0,7,1,,,,catch,0,0,,0,0,1.62,,
25,1,True,0,13,0,9,1,,,,catch,0,0,,0,0,1.38,,
26,1,True,1,13,1,29,1,,,,catch,0,0,,0,0,1.71,,
27,1,True,1,12,0,4,0,,,,catch,0,0,,0,0,3.15,,
28,1,True,0,13,1,5,0,,,,catch,0,0,,0,0,1.71,,
29,1,True,1,14,1,5,1,,,,catch,0,0,,0,0,4.99,,
30,1,True,0,14,0,3,1,,,,catch,0,0,,0,0,1.75,,
31,2,True,1,13,1,7,1,,,,catch,0,0,,0,0,2.18,,
32,2,True,0,13,0,7,1,,,,catch,0,0,,0,0,1.75,,
33,2,True,1,12,1,6,1,,,,catch,0,0,,0,0,1.72,,
34,2,True,0,12,0,3,1,,,,catch,0,0,,0,0,1.8,,
35,2,True,0,11,0,22,1,,,,catch,0,0,,0,0,1.84,,
