Participant ID,Gender,Age,Device Use,Final Dot Difference,Num Of Trials,Choice of Human,Choice of Algorithm,Block 4 Human Acc,Block 4 Algor Acc,Human Choice After Block 4,Algor Choice After Block 4,Top Box Chosen,Left Box Chosen,Preference Strength,Max Cj,Min Cj,Cj Range,Num of Unique Cj Values,Advice Ignored Trials,Mean Cj Change,Cj1 Mean Resolution,Cj2 Mean Resolution,Mean Cj1 Accuracy,Mean Cj2 Accuracy,Sway of Human Advice,Sway of Algor Advice,Mean RT1,Mean RT2,Mean CTC,AccQuant1,AccQuant2,AccQuant3,AccQuant4,AdvQuant1,AdvQuant2,AdvQuant3,AdvQuant4,CjQuant1,CjQuant2,CjQuant3,CjQuant4,Mean Cj1,Mean Cj2,St Dev Cj1,St Dev Cj2,Human Agreed %,Algor Agreed %,Algor Agreed % Diff,Human Agreed Conf Diff,Algor Agreed Conf Diff,Human Disagreed Conf Diff,Algor Disagreed Conf Diff,Algor Relative Influence
5df51aaedf98d93923d5304f,m,28,9,12,360,0.879,0.121,0.722,0.708,0.925,0.075,0.479,0.75,0.379,50,5,45,44,34,12.019,5.353,3.473,0.739,0.767,1.132,0.671,1.496,1.954,3.531,0,0.613,0.488,0.918,0,0.21,0.183,0.224,0,0.172,0.228,0.236,31.503,33.994,10.627,15.868,0.633,0.733,0.1,-1.833,-3.95,8.409,5.875,0.417
5e29c7b8884487028f82e333,m,25,7,12.0,300,0.267,0.733,0.632,0.732,0.275,0.725,0.183,0.27,0.233,50.0,1.0,49.0,39,2,17.76,6.854,10.981,0.583,0.71,10.438,11.359,1.364,1.501,3.066,0.765,0.516,0.423,0.726,0.544,0.613,0.519,0.758,0.227,0.207,0.173,0.207,18.403,36.423,8.013,7.156,0.8,0.783,-0.017,9.841,11.585,20.5,10.667,11.578
5c5cad3e4ee81200018eafe2,f,68,6,11,360,0.921,0.079,0.778,0.533,0.935,0.065,0.496,0.644,0.421,28,4,24,25,98,4.572,3.47,2.388,0.675,0.717,0.163,0.69,1.959,2.514,4.407,0.813,0.676,0.528,0.823,0.173,0.284,0.25,0.215,0.208,0.206,0.2,0.219,16.25,13.567,5.141,6.994,0.817,0.833,0.017,-0.976,0.045,2.091,0.7,2.412
5d53eccf0d82b90001c5f05f,f,34,7,15,360,0.708,0.292,0.842,0.636,0.71,0.29,0.425,0.453,0.208,39,1,38,34,3,4.314,4.445,4.782,0.786,0.792,0.793,0.04,2.265,2.676,4.697,0.966,0.695,0.588,0.919,0.241,0.341,0.471,0.384,0.242,0.228,0.189,0.239,11.442,13.783,7.535,10.2,0.738,0.644,-0.094,-1.558,0.314,0.062,-0.905,2.84
5e19774a844cbc219d0fc644,f,29,8,15,360,0.542,0.458,0.765,0.731,0.525,0.475,0.158,0.447,0.042,44,1,43,44,160,1.142,5.348,7.34,0.581,0.592,0.098,0.387,2.626,2.423,4.49,0.671,0.667,0.481,0.558,0.481,0.417,0.506,0.481,0.219,0.233,0.214,0.214,25.047,24.659,9.479,9.551,0.61,0.59,-0.02,-0.25,-0.406,0.217,0.12,-0.059
5ccc0b9078e7d000013b2dcc,f,29,8,15,360,0.138,0.863,0.7,0.7,0.115,0.885,0.4,0.597,0.362,27,2,25,25,0,6.078,0.453,1.51,0.597,0.689,1.941,1.408,3.462,3.851,6.268,0.779,0.623,0.541,0.609,0.706,0.66,0.836,0.734,0.189,0.147,0.169,0.178,12.019,16.438,4.954,5.666,1.0,0.983,-0.017,-2.286,-0.452,nan,6.0,nan
5a8185b8aa46dd00016b80d6,f,49,4,7,360,0.629,0.371,0.696,0.757,0.69,0.31,0.442,0.55,0.129,39,1,38,37,0,2.475,0.375,0.098,0.772,0.794,0.183,0.307,2.136,2.463,4.468,0.938,0.684,0.554,0.939,0.4,0.368,0.5,0.354,0.222,0.211,0.206,0.228,12.272,12.368,7.978,8.429,0.717,0.733,0.017,-0.651,-0.7,2.294,0.125,2.12
55b8d0bffdf99b0f2859fe73,m,38,8,11,360,0.463,0.537,0.633,0.7,0.455,0.545,0.054,0.544,0.037,47,1,46,43,2,3.806,2.969,3.797,0.725,0.747,0.375,0.766,3.181,1.942,3.414,0.904,0.649,0.648,0.878,0.554,0.455,0.507,0.554,0.231,0.214,0.197,0.206,10.419,11.107,9.995,10.691,0.705,0.864,0.159,-0.395,-1.312,2.389,-5.0,6.471
5c408532e1443100010726e2,m,36,5,12,360,0.954,0.046,0.75,0.5,0.99,0.01,0.446,0.642,0.454,50,2,48,45,48,4.442,9.888,1.722,0.864,0.864,0.778,0.261,1.629,2.018,3.641,0.959,0.841,0.812,0.988,0.189,0.146,0.235,0.221,0.206,0.228,0.236,0.239,30.178,32.858,11.958,12.554,0.763,0.639,-0.123,-0.867,0.342,-2.929,-1.091,-0.629
5c7d74d0c9e709000183c3ba,m,26,2,13,360,0.183,0.817,0.765,0.767,0.18,0.82,0.504,0.556,0.317,50,1,49,49,9,11.003,4.75,7.853,0.819,0.783,2.667,1.783,1.278,1.571,3.003,0.975,0.833,0.684,0.937,0.638,0.705,0.772,0.671,0.222,0.217,0.219,0.219,18.075,26.899,13.367,16.023,0.712,0.82,0.108,-1.619,-5.488,0.706,-1.091,-2.072
5a0efb83ab721b0001ef8509,m,65,5,13,360,0.283,0.717,0.538,0.702,0.325,0.675,0.325,0.597,0.217,46,3,43,43,60,3.603,1.403,2.345,0.789,0.783,0.641,0.484,2.345,2.276,4.148,0.874,0.76,0.756,0.821,0.621,0.693,0.593,0.607,0.242,0.208,0.239,0.233,21.714,20.396,10.754,11.77,0.656,0.712,0.056,-0.425,-0.65,-1.048,1.588,-2.861
