Participant ID,Gender,Age,Device Use,Final Dot Difference,Num Of Trials,Choice of Human,Choice of Algorithm,Block 4 Human Acc,Block 4 Algor Acc,Human Choice After Block 4,Algor Choice After Block 4,Top Box Chosen,Left Box Chosen,Preference Strength,Max Cj,Min Cj,Cj Range,Num of Unique Cj Values,Advice Ignored Trials,Mean Cj Change,Cj1 Mean Resolution,Cj2 Mean Resolution,Mean Cj1 Accuracy,Mean Cj2 Accuracy,Sway of Human Advice,Sway of Algor Advice,Mean RT1,Mean RT2,Mean CTC,AccQuant1,AccQuant2,AccQuant3,AccQuant4,AdvQuant1,AdvQuant2,AdvQuant3,AdvQuant4,CjQuant1,CjQuant2,CjQuant3,CjQuant4,Mean Cj1,Mean Cj2,St Dev Cj1,St Dev Cj2,Human Agreed %,Algor Agreed %,Algor Agreed % Diff,Human Agreed Conf Diff,Algor Agreed Conf Diff,Human Disagreed Conf Diff,Algor Disagreed Conf Diff,Algor Relative Influence,dd Block 1 End,dd Block 2 End,dd Block 3 End,Block 1 Accuracy,Block 2 Accuracy,Block 3 Accuracy,Block 4 Algor Choice
5e59bb355f26921d02b4ec5f,f,28,8,12,360,0.671,0.329,0.654,0.588,0.725,0.275,0.287,0.511,0.171,46,2,44,42,26,12.186,1.407,0.962,0.622,0.689,7.556,7.63,1.974,2.682,4.566,0.636,0.625,0.562,0.644,0.466,0.412,0.348,0.311,0.244,0.222,0.247,0.25,27.239,22.309,8.299,12.426,0.917,0.967,0.05,-7.122,-8.682,-12.0,15.5,-29.06,15,14,12,0.433,0.7,0.5,0.4
5a5459cce0cf3d0001260ebd,f,38,6,15,360,0.758,0.242,0.683,0.579,0.755,0.245,0.4,0.669,0.258,25,1,24,22,0,4.225,0.49,0.067,0.647,0.692,1.6,0.434,2.935,3.491,5.64,0.699,0.592,0.589,0.695,0.337,0.394,0.274,0.293,0.231,0.197,0.203,0.228,11.914,13.05,4.195,5.654,0.836,0.712,-0.124,-2.089,-0.944,0.6,3.353,-1.608,13,15,15,0.533,0.567,0.6,0.775
5e6011026e31c836f4ca5ac9,f,19,8,13,360,0.296,0.704,0.724,0.871,0.26,0.74,0.3,0.742,0.204,48,2,46,43,5,8.064,1.831,6.542,0.6,0.697,4.652,4.721,1.613,1.827,3.444,0.667,0.614,0.481,0.598,0.622,0.591,0.696,0.667,0.25,0.244,0.219,0.242,19.714,25.539,10.225,11.425,0.951,0.983,0.032,-5.953,-4.81,14.0,-1.0,16.144,15,15,13,0.567,0.6,0.467,0.475
5d36f9692fd5a4001ae5929f,f,22,8,10,360,0.562,0.438,0.727,0.711,0.615,0.385,0.442,0.414,0.062,37,1,36,27,66,5.525,0.922,2.135,0.711,0.706,2.172,3.273,2.038,2.205,3.993,0.811,0.619,0.708,0.736,0.514,0.413,0.446,0.46,0.206,0.175,0.181,0.242,6.033,9.593,5.542,11.569,0.717,0.717,0.0,-0.707,5.289,-5.706,-1.235,1.526,15,15,10,0.633,0.567,0.8,0.3
5da98138d11d560013a3d22d,f,25,9,7,360,0.608,0.392,0.647,0.692,0.61,0.39,0.308,0.522,0.108,50,1,49,50,18,9.122,1.525,6.181,0.661,0.694,0.783,2.14,8.27,2.272,4.285,0.714,0.644,0.578,0.705,0.481,0.437,0.398,0.386,0.214,0.242,0.231,0.244,29.803,31.663,11.482,10.999,0.814,0.836,0.023,-0.4,-2.0,4.545,-2.8,5.745,15,13,7,0.533,0.667,0.833,0.6
5c3ddbdc337ac90001a4e62e,f,23,6,15,360,0.45,0.55,0.56,0.686,0.465,0.535,0.317,0.517,0.05,23,1,22,22,13,3.417,1.302,2.239,0.8,0.781,0.482,0.483,1.836,2.267,4.286,0.874,0.764,0.728,0.835,0.563,0.491,0.543,0.544,0.242,0.153,0.225,0.219,9.567,10.34,3.608,4.884,0.767,0.783,0.017,-0.581,0.178,-0.154,1.538,-0.933,14,10,15,0.7,0.767,0.6,0.375
59bd9d713c45a10001ccca7a,f,31,9,15,360,0.092,0.908,0.538,0.681,0.095,0.905,0.475,0.703,0.408,48,2,46,44,1,8.406,2.499,0.812,0.742,0.753,0.525,1.443,2.861,2.88,4.875,0.793,0.744,0.57,0.864,0.817,0.756,0.779,0.761,0.228,0.228,0.239,0.244,20.2,22.054,10.124,12.661,0.678,0.705,0.027,-2.575,-1.535,7.053,8.556,-0.463,14,13,15,0.6,0.633,0.567,0.075
5e668f3107e41f04e1ff4a95,f,21,7,8,360,0.904,0.096,0.733,0.567,0.98,0.02,0.458,0.586,0.404,47,1,46,43,0,9.103,1.459,0.83,0.75,0.747,0.655,1.983,2.5,2.748,4.573,0.8,0.667,0.708,0.835,0.233,0.178,0.27,0.247,0.25,0.25,0.247,0.236,18.25,23.443,10.244,12.721,0.712,0.738,0.026,-1.61,-2.19,1.647,-1.438,2.504,14,10,8,0.6,0.8,0.767,0.525
5b59a51fca6d01000157a8c3,m,34,9,8,360,0.404,0.596,0.697,0.667,0.37,0.63,0.537,0.525,0.096,45,1,44,44,37,4.389,1.489,2.721,0.761,0.767,0.983,0.518,2.043,2.133,3.789,0.874,0.701,0.69,0.833,0.598,0.597,0.598,0.5,0.242,0.214,0.242,0.233,14.458,13.789,10.948,12.283,0.683,0.65,-0.033,0.39,-1.2,2.263,0.619,0.054,12,11,8,0.733,0.733,0.767,0.575
5bc0ae2c9dd2d9000112c0b6,m,40,7,15,360,0.533,0.467,0.667,0.567,0.54,0.46,0.454,0.394,0.033,50,3,47,48,89,3.347,8.307,13.394,0.711,0.733,0.552,0.155,3.363,2.241,3.862,0.905,0.575,0.57,0.773,0.488,0.494,0.477,0.455,0.233,0.242,0.239,0.244,27.606,29.98,13.942,13.505,0.783,0.8,0.017,1.067,0.319,-1.231,-2.182,0.204,14,15,15,0.333,0.533,0.533,0.5
